ru_name;en_name
ГРИГОЛ;GRIGOL
АБАШИДЗЕ;ABASHIDZE
ИРАКЛИЙ;IRAKLI
НОДАР;NODAR
АМАГЛОБЕЛИ;AMAGHLOBELI
ШАЛВА;SHALVA
АМИРАНАШВИЛИ;AMIRANASHVILI
ЭЛЕВТЕР;ELEPTER
АНДРОНИКАШВИЛИ;ANDRONIKASHVILI
АНДРИЯ;ANDRIA
АПАКИДЗЕ;APAKIDZE
ДИМИТРИЙ;DIMITRI
АРАКИШВИЛИ;ARAKISHVILI
ВЛАДИМИР;VLADIMER
АСАТИАНИ;ASATIANI
ГЕОРГИЙ;GIORGI
АХВЛЕДИАНИ;AKHVLEDIANI
НИКОЛАЙ;NIKOLOZ
БЕРДЗЕНИШВИЛИ;BERDZENISHVILI
ИВАН;IVAN
БЕРИТАШВИЛИ;BERITASHVILI
АНДРЕЙ;ANDREI
БИЦАДЗЕ;BITSADZE
МИХАИЛ;MIKHEIL
БОКУЧАВА;BOKUCHAVA
ИЛЬЯ;ILIA
ВЕКУА;VEKUA
ЛЕОНИД;LEONIDE
ГАБУНИЯ;GABUNIA
РЕВАЗ;REVAZ
ГАМКРЕЛИДЗЕ;GAMKRELIDZE
ТАМАЗ;TAMAZ
КОНСТАНТИН;KONSTANTINE
ГАМСАХУРДИЯ;GAMSAKHURDIA
ИОСИФ;IOSEB
ГРИШАШВИЛИ;GRISHASHVILI
ПААТА;PAATA
ГУГУШВИЛИ;GUGUSHVILI
ОТАРИ;OTAR
ГУДУШАУРИ;GHUDUSHAURI
ЛЕО;LEO
ДАВИТАШВИЛИ;DAVITASHVILI
ФЕОФАН;FEOFAN
ДАВИТАЯ;DAVITAIA
РАФАЭЛ;RAFIEL
ДВАЛИ;DVALI
АЛЕКСАНДР;ALEXANDER
ДЖАВАХИШВИЛИ;JAVAKHISHVILI
НИНА;NINO
СИМОН;SIMON
ДЖАНАШИА;JANASHIA
АЛЕКСАНДР;ALEKSANDRE
ДЖАНЕЛИДЗЕ;JANELIDZE
ЛЕВАН;LEVAN
ДЖАПАРИДЗЕ;JAFARIDZE
СЕРГИ;SERGI
ДЖИКИЯ;DZHIKIYA
ДЗОЦЕНИДЗЕ;DZOTSENIDZE
СЕРГЕЙ;SERGI
ДУРМИШИДЗЕ;DURMISHIDZE
ЖГЕНТИ;ZHGHENTI
КИРИАК;KIRIAK
ЗАВРИЕВ;ZAVRIEV
ФИЛИПП;PHILIPP
ЗАЙЦЕВ;ZAITZEV
АВЛИПИЙ;AVLIPI
ЗУРАБАШВИЛИ;ZURABASHVILI
НИКОЛАЙ;NIKO
КЕЦХОВЕЛИ;KETSKHOVELI
ВИКТОР;VIKTOR
КУПРАДЗЕ;KUPRADZE
БОРИС;BORIS
КУФТИН;KUFTIN
ЛЕОНИДЗЕ;LEONIDZE
ДЖУМБЕР;JUMBER
ЛАМИНАДЗЕ;LOMINADZE
МЕЛИКИШВИЛИ;MELIKISHVILI
ЕЛЕНА;HELENE
МЕТРЕВЕЛИ;METREVELI
МАТЭ;MATE
МИРИАНАШВИЛИ;MIRIANASHVILI
МУСХЕЛИШВИЛИ;MUSKHELISHVILI
ГРИГОРИЙ;GRIGOL
МУХАДЗЕ;MUKHADZE
НУЦУБИДЗЕ;NUTSUBIDZE
ВАЖА;VAZHA
ОКУДЖАВА;OKUJAVA
ТЕНГИЗ;TENGIZ
ОНИАНИ;ONIANI
ИВЕРИ;IVERI
ПРАНГИШВИЛИ;PRANGISHVILI
ДМИТРИЙ;DMITRII
СОСНОВСКИЙ;SOSNOWSKY
ГАЛАКТИОН;GALAKTION
ТАБИДЗЕ;TABIDZE
АЛЬБЕРТ;ALBERT
ТАВХЕЛИДЗЕ;TAVKHELIDZE
ЭКВТИМЕ;EKVTIME
ТАКАИШВИЛИ;TAKAISHVILI
ДМИТРИЙ;DIMITRI
УЗНАДЗЕ;UZNADZE
ЕВГЕНИЙ;EVGENI
ХАРАДЗЕ;KHARADZE
АРЧИЛ;ARCHIL
ЦАГАРЕЛИ;TSAGARELI
ЦЕРЕТЕЛИ;TSERETELI
ЦИНАМДЗГВРИШВИЛИ;TSINAMDZGHVRISHVILI
АРНОЛЬД;ARNOLD
ЧИКОБАВА;CHIKOBAVA
ЧИТАЯ;CHITAIA
ЧУБИНАШВИЛИ;CHUBINASHVILI
АКАКИЙ;AKAKI
ШАНИДЗЕ;SHANIDZE
ПЁТР;PETRE
ШАРИЯ;SZARIA
ДЕМНА;DEMNA
ШЕНГЕЛАЯ;SHENGELAIA
