ru_name;en_name
ЗУРАБ;ZURAB
АВАЛИШВИЛИ;AVALISHVILI
ЛАВРЕНТИЙ;LAVRENTI
АРДАЗИАНИ;ARDAZIANI
АНДРЕЙ;ANDRIA
БАЛАНЧИВАДЗЕ;BALANCHIVADZE
ГУРАМ;GURAM
БАТИАШВИЛИ;BATIASHVILI
ЕКАТЕРИНА;EKATERINE
ГАБАШВИЛИ;GABASHVILI
ФАЗИЛЬ;FAZIL
ГАСАНОВ;GASANOV
ЯКОВ;IAKOB
ГОГЕБАШВИЛИ;GOGEBASHVILI
ДАШГЫН;DASHGYN
ГЮЛЬМАМЕДОВ;GULMAMMADOV
ИОСИФ;IOSEB
ДАВИТАШВИЛИ;DAVITASHVILI
ШАЛВА;SHALVA
ДАДИАНИ;DADIANI
МАРИАМ;MARIAM
ДЖАМБАКУР-ОРБЕЛИАНИ;JAMBAKUR-ORBELIANI
СОЛОМОН;SOLOMON
ДОДАШВИЛИ;DODASHVILI
ДМИТРИЙ;DIMITRI
КИПИАНИ;KIPIANI
НИКО;NIKO
ЛОМОУРИ;LOMOURI
ИВАНЕ;IVANE
МАЧАБЕЛИ;MACHABELI
АЛЕКСЕЙ;ALEKSANDRE
МАЧАВАРИАНИ;MACHAVARIANI
СОПРОМ;SOPROM
МГАЛОБЛИШВИЛИ;MGALOBLISHVILI
НИКОЛАЙ;NIKO
НИКОЛАДЗЕ;NIKOLADZE
АНТОН;ANTON
ПУРЦЕЛАДЗЕ;PURTSELADZE
ЭКВТИМЕ;EKVTIME
ТАКАИШВИЛИ;TAKAISHVILI
АКАКИЙ;AKAKI
ХОРАВА;KHORAVA
ГЕОРГИЙ;GEORGE
ХУЦИШВИЛИ;KHUTSISHVILI
ЦЕРЕТЕЛИ;TSERETELI
ГЕОРГИЙ;GIORGI
ИЛЬЯ;ILIA
ЧАВЧАВАДЗЕ;CHAVCHAVADZE
ЛЕОНИД;LEONID
ЧЕРНОВЕЦКИЙ;CHERNOVETSKYI
ШЕРВАШИДЗЕ;SHERVASHIDZE
