ru_name;en_name
АСЛАН;ASLAN
АБАШИДЗЕ;ABASHIDZE
ГЕЙДАР;HAIDAR
ГЕОРГИЙ;GIORGI
МЕМЕД;MEMED
РОСТОМ;ROSTOM
ВЛАДИМИР;VLADIMIR
АВЕНЯН;AVENIAN
ИОАННИС;JOANNIS
АВРАМИДИС;AVRAMIDIS
ТАТЕОС;TATEOS
АГЕКЯН;AGEKIAN
АЛИО;ALIO
АДАМИА;ADAMIA
ДЖО;JOE
АДАМОВ;ADAMOV
ШАМИЛЬ;SHAMIL
АДЗЫНБА;ADZYNBA
АРТАШЕС;ARTASHES
АЗНАУРЯН;AZNAURYAN
КАСИМ;KASIM
АКЧУРИН;AKCHURIN
ИРАКЛИЙ;IRAKLI
АЛАСАНИЯ;ALASANIA
АРШАК;ARSHAK
АЛЕКСАНДРОВ;ALEKSANDROV
МИХАИЛ;MIKHAIL
АЛШИБАЙ;ALSHIBAY
ЗУРАБИ;ZURAB
АРЗИАНИ;ARZIANI
РУВИМ;RUVIM
АРОНОВ;ARONOV
ГЕОРГИЙ;GEORGE
АРУТЮНЯН;HARUTYUNYAN
АЛЕКСАНДР;ALEKSANDR
БАВШИН;BAVSHIN
ГЕРБЕРТ;HERBERT
БАККЕ;BACKE
АВТАНДИЛ;AVTANDIL
БАРАМИДЗЕ;BARAMIDZE
ИОСИФ;JOSEF
БАРДАНАШВИЛИ;BARDANASHVILI
АЛЕКСАНДР;ALEXANDER
БАРСЕГЯН;BARSEGHYAN
НИНО;NINO
БАЦИАШВИЛИ;BATSIASHVILI
ДАВИД;DAVID
БЕДИНАДЗЕ;BEDINADZE
ЛЕВАН;LEVAN
БЕРДЗЕНИШВИЛИ;BERDZENISHVILI
БЕРИДЗЕ;BERIDZE
ЛИКА;LIKA
БИБИЛЕЙШВИЛИ;BIBILEISHVILI
НАТАЛЬЯ;NATALYA
БОЕВА;BOEVA
ЭЛИСО;ELISSO
БОЛКВАДЗЕ;BOLKVADZE
НИЯЗИ;NIYAZI
БРУНДЖАДЗЕ;BRUNDZHADZE
БУГАЕВ;BUGAYEV
ВАРШАЛОМИДЗЕ;VARSHALOMIDZE
МУХРАН;MUKHRAN
ВАХТАНГАДЗЕ;VAKHTANGADZE
КОНСТАНТИН;KONSTANTIN
ВОРОНКОВ;VORONKOV
ГВАНЦЕЛАДЗЕ;GVANTSELADZE
ФЕЛИКС;FELIX
ГЛОНТИ;GLONTI
АЛЬБЕРТ;ALBERT
ГОГУАДЗЕ;GOGUADZE
ВИКТОР;VIKTOR
ГРОССМАН;GROSSMAN
ГУРУЛИ;GURULI
АЙДЫН;AIDYN
ГУСЕЙНОВ;GUSEINOV
ИЛЬЯ;ILIA
ДАТУНАШВИЛИ;DATUNASHVILI
ДЕРЖАВИН;DERZHAVIN
ГЕОРГИЙ;GEORGY
ДЖЕРОЯН;DZHEROYAN
МАМУКА;MAMUKA
ДЗИМИСТАРИШВИЛИ;DZIMISTARISJVILI
ОДИССЕЙ;ODYSSEAS
ДИМИТРИАДИ;DIMITRIADIS
РОМАН;ROMAN
ДОЛИДЗЕ;DOLIDZE
ВАЛЕРИЙ;VALERY
ЕВНЕВИЧ;EVNEVICH
ЗАТУЛИН;ZATULIN
РАМАЗ;RAMAZ
ЗОИДЗЕ;ZOIDZE
ЛЕВОН;LEVON
ЗОРАБЯН;ZOHRABYAN
ИГОРЬ;IGOR
ИВАНОВ;IVANOV
ЮРИЙ;YURY
СЕНИЕ;INSIRAH
ИНШИРАХ;EFENDI
АНЗОР;ANZOR
КАВАЗАШВИЛИ;KAVAZASHVILI
ЮРИЙ;YURI
КАВТАРАДЗЕ;KAVTARADZE
ЗААЛ;ZAAL
КАКАБАДЗЕ;KAKABADZE
РАМИЗ;RAMIZ
КАРИЧЕВ;KARICZEW
ГИВИ;GIVI
КАРТОЗИЯ;KARTOZIA
СВЕТЛАНА;SVETLANA
КАСЬЯН;KASYAN
МИХАИЛ;MIKHEIL
КАХИАНИ;KAKHIANI
КВИРИКАДЗЕ;KVIRIKADZE
ГРИГОРИЙ;GRIGOL
КИЛАДЗЕ;KILADZE
ЛАША;LASHA
КОМАХИДЗЕ;KOMAKHIDZE
ВАХТАНГ;VAKHTANG
КОРИДЗЕ;KORIDZE
ЛАДО;LADO
СЕИДИШВИЛИ;SEIDISHVILI
САРИЯ;SARIYA
ЛАКОБА;LAKOBA
ВЕРА;VERA
ЛЕЙКИНА-СВИРСКАЯ;LEYKINA-SVIRSKAYA
ЛОМТАДЗЕ;LOMTADZE
МАРИАМ;MARIAN
ЛОРДКИПАНИДЗЕ;LORTKIPANIDZE
ГРИГОРИЙ;GRIGORY
МАЙРАНОВСКИЙ;MAIRANOVSKY
ШОТА;SHOTA
МАМИНАШВИЛИ;MAMINASHVILI
МАХАРАДЗЕ;MAKHARADZE
МАЛХАЗ;MALKHAZ
МЕЛАДЗЕ;MELADZE
САЛОМЕ;SALOME
МЕЛИЯ;MELIA
МИНАЕВ;MINAEV
АШОТ;ASHOT
МНДОЯНЦ;MNDOYANTS
МЧЕДЕЛОВ;MCHEDELOV
НЕВДЮР;NEVDUR
ЭФЕНДИ;HANIMEFENDI
ТАМАР;TAMAR
ОГАНЕЗОВА;OGANEZOVA
ОГАНЕС;HOVHANNES
ОГАНЕСЯН;HOVHANNISYAN
СЕРГЕЙ;SERGEY
ПАЙЧАДЗЕ;PAYCHADZE
АМИРАН;AMIRAN
ПАПИНАШВИЛИ;PAPINASHVILI
ПАРФЁНОВ;PARFYONOV
ЗУРАБ;ZURAB
ПАТАРАДЗЕ;PATARADZE
ВАЛЕРИЙ;VALERIY
ПЕНДРАКОВСКИЙ;PENDRAKOVSKIY
ПЛУЖНИКОВ;PLUZHNIKOV
ЛИЯ;LIYA
ПРЕДТЕЧЕНСКАЯ;PREDTECHENSKAYA
СТЕПАН;STEPAN
ПУЧИНЯН;PUCHINYAN
ГУРАМ;GURAM
ПХЕРСЕЛИДЗЕ;PHERSELIDZE
ГУДЖА;GUJA
РУХАИА;RUKHAIA
СЕРГЕЙ;SERGEJ
СОРИН;SORIN
АРКАДИЙ;ARKADY
СТРУГАЦКИЙ;STRUGATSKY
НИКОЛАЙ;NIKOLAJ
СУКОЯН;SUKOJAN
СЕСИЛЬ;SESILIA
ТАКАИШВИЛИ;TAKAISHVILI
ЭДМОНТ;EDMONT
ТАНТЫБА;TANTYBA
ТЕНГИЗ;TENGIZ
ТЕДОРАДЗЕ;TEDORADZE
КИРИЛЛ;KIRILL
ТИМОФЕЕВ;TIMOFEEV
УКЛЕБА;UKLEBA
МЕРАБИ;MERABI
УРИДИЯ;URIDIA
НИКОЛАЙ;NICOLAS
ФЛОРИН;FLORINE
СОФО;SOPHO
ХАЛВАШИ;KHALVASHI
НАТАЛИ;NATHALIE
ХЕННЕБЕРГ;HENNEBERG
МИНДИЯ;MINDIA
ХИТАРИШВИЛИ;KHITARISHVILI
АНТОНИЙ;ANTONY
ХОДУРСКИЙ;KHODURSKY
ХОМЕРИКИ;KHOMERIKI
БААДУР;BAADUR
ЦУЛАДЗЕ;TSULADZE
ШАДИМАН;SHADIMAN
ЧАВЧАВАДЗЕ;CHAVCHAVADZE
ЧЕЛИДЗЕ;CHELIDZE
ЛАМАРА;LAMARA
ЧКОНИЯ;CHKONIA
ЧХАИДЗЕ;CHKHAIDZE
НОДАР;NODAR
ШАШИК-ОГЛЫ;SASIQOGLU
ЭЛЕОНОРА;ELEONORA
ШАШКОВА;SHASHKOVA
ГЕЛА;GELA
ШЕКИЛАДЗЕ;SHEKILADZE
ЕБРАЛИДЗЕ;YEBRALIDZE
БОРИС;BORIS
ЭДЕР;EDER
ЭРКОМАИШВИЛИ;ERKOMAISHVILI
ФЁДОР;FYODOR
ЮРЧИХИН;YURCHIKHIN
