ru_name;en_name
ОТАР;OTAR
АБЕСАДЗЕ;ABESADZE
ЯКОБ;IAKOB
АБХАЗАВА;APKHAZAVA
ГЕОРГИОС;GEORGIOS
АЗОИДИС;AZOIDIS
АФЛАТУН;AFLATUN
АМАШЕВ;AMASHOV
АРВЕЛАДЗЕ;ARVELADZE
ТЕЙМУРАЗ;TEMUR
БАБЛУАНИ;BABLUANI
ВЛАДИМИР;VLADIMIR
БЕКАУРИ;BEKAURI
ШАМИЛЬ;SHAMIL
БОРЧАШВИЛИ;BORCHASHVILI
АДОШ;ADOSH
ВАЛИЕВ;VALIYEV
АНДРО;ANDRO
ВЕКУА;WEKUA
ИБРАГИМ;IBRAHIM
ГАССЕЕВ;GAZSEEV
ЛЕВАНИ;LEVAN
ГВАЗАВА;GVAZAVA
АРЧИЛ;ARCHIL
ГЕГЕШИДЗЕ;GEGESHIDZE
ТАМАЗ;TAMAZ
ГЕЛАШВИЛИ;GELASHVILI
ГЕОРГИЙ;GIORGI
ГЕОРГАДЗЕ;GIORGADZE
ЗАЗА;ZAZA
ГОГАВА;GOGAVA
КАХА;KAKHA
ГОГОЛАДЗЕ;GOGOLADZE
ВАСИЛИЙ;WASIL
ГОГУА;GOGUA
ДМИТРИЙ;DIMITRI
ГРУЗИНСКИЙ;GRUZINSKY
ГУЛИАШВИЛИ;GULIASHVILI
ОЛЬГА;OLGA
ГУРАМИШВИЛИ;CHAVCHAVADZE
АЛЕКСАНДР;ALEXANDRE
ДГЕБУАДЗЕ;DGEBUADZE
ДЕМЕТРЕ;DEMETRIUS
КЛАРДЖИ;KLARJETI
ЯКОВ;YAKOV
ДЖУГАШВИЛИ;DZHUGASHVILI
ЕВФИМИЙ;EUTHYMIUS
АФОНСКИЙ;ATHOS
БЕСИК;BESIK
ЗОИДЗЕ;ZOIDZE
ЛИНА;LINA
ИВАНОВА;IVANOVA
ИОАНН;JOHN
ИВЕРСКИЙ;IBERIAN
МЕРАБ;MERAB
КАКУЛИЯ;KAKULIA
МАТВЕЙ;MATVEI
КАПЕЛЮШНИКОВ;KAPELYUSHNIKOV
КАЦАНАШВИЛИ;KATSANASHVILI
КАЧЕИШВИЛИ;KACHEISHVILI
КУДУХОВ;KUDUKHOV
КЮЧЮК;KUCUK
ХЮСЕЙН-ПАША;PASHA
ЛЕВОН;LEVON
ЛАГВИЛАВА;LAGVILAVA
ШАЛВА;SHALVA
ЛОЛАДЗЕ;LOLADZE
АНЗОР;ANZOR
МАРТКОПЛИШВИЛИ;MARTKOPLISHVILI
АНДРАНИК;ANDRANIK
МЕГРАБЯН;MEHRABYAN
АЛЕКСАНДР;ALEKSANDR
МЕЛИЯ;MELIYA
ХВИЧА;KHVYCHA
МЕПАРИШВИЛИ;MEPARISHVILI
ДЖОНДО;JONDO
МУЗАШВИЛИ;MUZASHVILI
ВАРДЕН;VARDIKO
НАДИБАИДЗЕ;NADIBAIDZE
НАДИРАДЗЕ;NADIRADZE
ВАЖА;VAZHA
НЕИДЗЕ;NEIDZE
ВИТАЛИЙ;VITALY
НИКОЛАЕНКО;NIKOLAYENKO
ИЛЬЯ;ILIA
ОДИШЕЛИДЗЕ;ODISHELIDZE
ПОРОЖНЮК;POROZHNUK
ТАРИЭЛ;TARIEL
ПУТКАРАДЗЕ;PUTKARADZE
ИЛЬЯ;ILYA
РАЗМАДЗЕ;RAZMADZE
МИРИАН;MIRIAN
РОБАКИДЗЕ;ROBAKIDZE
АЛЕКСАНДР;ALEXANDER
РОНДЕЛИ;RONDELI
НИКА;NIKA
РУРУА;RURUA
МИХАИЛ;MIKHEIL
САЛАДЗЕ;SALADZE
ВИКТОР;VICTOR
ТЕВЗАЯ;TEVZAIA
ГАГА;GAGA
ТИБИЛАШВИЛИ;TIBILASHVILI
ШОТА;SHOTA
ХАБАРЕЛИ;KHABARELI
ИОАННА;IOANNA
ХАДЗИИОАННУ;CHATZIIOANNOU
ФРИДОН;PRIDON
ХАЛВАШИ;KHALVASHI
НЕСТОР;NESTOR
ХЕРГИАНИ;KHERGIANI
ХЕРХЕУЛИДЗЕ;KHERKHEULIDZE
АРМАН;ARMAN
ЦАРУКЯН;TSARUKYAN
ТЕЙМУРАЗ;TEIMURAZ
ЦИКЛАУРИ;TSIKLAURI
ИРАКЛИЙ;IRAKLI
ЦИРЕКИДЗЕ;TSIREKIDZE
КЕТИ;KETI
ЧУХРОВ;CHUKHROV
ЧХАИДЗЕ;OMAR
ВАЛЕРЬЯНОВИЧ;CHKHAIDZE
КОНСТАНТИН;KONSTANTINE
ШАНАВА;SHANAVA
РАМАЗ;RAMAZ
ШАРАБИДЗЕ;SHARABIDZE
ШЕНГЕЛИЯ;SHENGELIA
САНДРО;SANDRO
ШУГЛАДЗЕ;SHUGLADZE
ИВАН;IOANE
ЯЛГУЗИДЗЕ;IALGHUZIDZE
