ru_name;en_name
ТАМАРА;TAMAR
АБАКЕЛИЯ;ABAKELIA
АЛЕКСАНДР;ALEXANDER
АБАШЕЛИ;ABASHELI
АНАСТАСИЯ;ANASTASIJA
АБАШИДЗЕ;ABASJIDZE
ГЕЙДАР;HAIDAR
АБАШИДЗЕ;ABASHIDZE
ГРИГОЛ;GRIGOL
ДАВИД;DODO
ИРАКЛИЙ;IRAKLI
КИТА;KITA
ЛЕВАН;LEVAN
ТЕНГИЗ;TENGIZ
АБУЛАДЗЕ;ABULADZE
ЗУРАБ;ZURAB
АВАЛИШВИЛИ;AVALISHVILI
АЛИО;ALIO
АДАМИА;ADAMIA
ШАЛВА;SHALVA
АЗМАЙПАРАШВИЛИ;AZMAIPARASHVILI
ВЛАДИМИР;LADO
АЛЕКСИ-МЕСХИШВИЛИ;ALEKSI-MESKHISHVILI
ДМИТРИЙ;DMITRY
АЛЕКСИДЗЕ;ALEKSIDZE
ЭЛГУДЖА;ELGUJA
АМАШУКЕЛИ;AMASHUKELI
ПЁТР;PETR
АМИРАНАШВИЛИ;AMIRANASHVILI
ДАВИД;DAVID
АНДГУЛАДЗЕ;ANDGULADZE
ЭЛЕВТЕР;ELEPTER
АНДРОНИКАШВИЛИ;ANDRONIKASHVILI
ЛУАРСАБ;LOUARSAB
АНДРОНИКОВ;ANDRONIKOV
ДОДО;DODO
АНТАДЗЕ;ANTADZE
ЯКОВ;YAKOV
АНФИМОВ;ANFIMOV
ДИМИТРИЙ;DIMITRI
АРАКИШВИЛИ;ARAKISHVILI
ЛАДО;LADO
АСАТИАНИ;ASATIANI
АСАТИАНИ;ASAT`IANI
ЕЛЕНА;ELENE
АХВЛЕДИАНИ;AKHVLEDIANI
СПАРТАК;SPARTAK
БАГАШВИЛИ;BAGASHVILI
ДМИТРИЙ;DIMITRI
БАКРАДЗЕ;BAKRADZE
АНДРЕЙ;ANDRIA
БАЛАНЧИВАДЗЕ;BALANCHIVADZE
АЛЕКСАНДР;ALEKSANDRE
БАСИЛАЯ;BASILAIA
АКАКИЙ;AKAKI
БЕЛИАШВИЛИ;BELIASHVILI
ДМИТРИЙ;DMITRIY
БЕНАШВИЛИ;BENASJVILI
БУАЧИДЗЕ;BUCHAIDZE
АЛЕКСАНДР;ALEK`SANDRE
БУКИЯ;BUKIA
ВАСАДЗЕ;VASADZE
НАТО;NATO
ВАЧНАДЗЕ;VACHNADZE
ИВАН;IVAN
ВЕПХВАДЗЕ;VEPKHVADZE
АНАСТАСИЯ;ANASTASIA
ВИРСАЛАДЗЕ;VIRSALADZE
СИМОН;SIMON
ЕКАТЕРИНА;EKATERINE
ГАБАШВИЛИ;GABASHVILI
ГУРАНДА;GURANDA
ГАБУНИЯ;GABUNIA
ГАМБАШИДЗЕ;GAMBASHIDZE
ГАМРЕКЕЛИ;GAMREKELI
КОНСТАНТИН;KONSTANTINE
ГАМСАХУРДИЯ;GAMSAKHURDIA
ВАЛЕРИАН;VALERIAN
ГАПРИНДАШВИЛИ;GAPRINDASHVILI
РАЖДЕН;RAZHDEN
ГВЕТАДЗЕ;GVETADZE
ГЕОРГИЙ;GOGI
ГЕГЕЧКОРИ;GEGECHKORI
ГЕОРГИЙ;GEORGY
ГОГЕЛИЯ;GOGELIA
ВАСИЛИЙ;VASO
ГОДЗИАШВИЛИ;GODZIASHVILI
ДЖЕМАЛ;JEMAL
ГОКИЕЛИ;GOKIELI
ИВАН;IVANE
ГАМЛЕТ;HAMLET
ГОНАШВИЛИ;GONASHVILI
СЕРГЕЙ;SERGI
ГОРГАДЗЕ;GORGADZE
ТЕРЕНТИЙ;TERENTI
ГРАНЕЛИ;GRANELI
ГЕОРГИЙ;GIORGI
ДАВИТАШВИЛИ;DAVITASHVILI
МАРИЯ;MARIAM
НИНА;NINO
ВЕРА;VERA
ДАВЫДОВА;DAVYDOVA
ДЕМЕТРАДЗЕ;DEMETRADZE
ИРАКЛИЙ;HERACLIUS
ДЖАБАДАРИ;DJABADARY
ГАБРИЭЛ;GABRIEL
ДЖАБУШАНУРИ;JABUSHANURI
ДЖАНЕЛИДЗЕ;JANELIDZE
КЕТО;KETO
ДЖАПАРИДЗЕ;JAPARIDZE
МЕДЕЯ;MEDEA
АРЧИЛ;ARC`IL
ДЖОРДЖАДЗЕ;JORJAZE
ВИКТОР;VICTOR
ДОЛИДЗЕ;DOLIDZE
СЕМЁН;SIKO
ЖВАНИЯ;ZHVANIA
ВИССАРИОН;BESO
ЖГЕНТИ;ZGENTI
