ru_name;en_name
ВАЛЕРИ;VALERI
АБРАМИДЗЕ;ABRAMIDZE
ГЕОРГИЙ;GIORGI
ПАПУНАИШВИЛИ;ABURJANIA
ЯКОБ;IAKOB
АБХАЗАВА;APKHAZAVA
ГЕОРГИЙ;GEORGI
АДАМИА;ADAMIA
ИРАКЛИ;IRAKLI
АЗАРОВИ;AZAROVI
КАХАБЕР;KAKHABER
АЛАДАШВИЛИ;ALADASHVILI
РАТИ;RATI
АЛЕКСИДЗЕ;ALEKSIDZE
БЕСИК;BESIK
АМАШУКЕЛИ;AMASHUKELI
АЛЕКСАНДР;ALEKSANDRE
АМИСУЛАШВИЛИ;AMISULASHVILI
ДЖАНО;DZHANO
АНАНИДЗЕ;ANANIDZE
ШАЛВА;SHALVA
АПХАЗАВА;APKHAZAVA
МАМУКА;MAMUKA
АПЦИАУРИ;APTSIAURI
ГИОРГИ;GIORGI
АРАБИДЗЕ;ARABIDZE
БАЧАНА;BACHANA
АРАБУЛИ;ARABULI
АРЧИЛ;ARCHIL
АРВЕЛАДЗЕ;ARVELADZE
ВАТО;VATO
ОТАР;OTAR
РЕВАЗ;REVAZ
ШОТА;SHOTA
АРДАЗИШВИЛИ;ARDAZISZWILI
ЗУРАБИ;ZURAB
АРЗИАНИ;ARZIANI
МАЛХАЗ;MALKHAZ
ГЕОРГИ;GEORGI
АРКАНИА;ARKANIA
АСАТИАНИ;ASATIANI
ВЛАДИМИР;VLADIMIR
АХАЛАЯ;AKHALAIA
МИХАИЛ;MIKHEIL
АШВЕТИЯ;ASHVETIA
ГЕОРГИЙ;GEORGY
БАБУАДЗЕ;BABUADZE
АСЛАН;ASLAN
БАЛАДЗЕ;BALADZE
БАЛАШВИЛИ;BALASHVILI
РЕВАЗ;REVAZI
БАРАБАДЗЕ;BARABADZE
ЗАКАРИЯ;ZAKARIA
БЕГЛАРИШВИЛИ;BEGLARISHVILI
БЕРАДЗЕ;BERADZE
ИЛЬЯ;ILIA
БЕРИАШВИЛИ;BERIASHVILI
БЕРИДЗЕ;BERIDZE
ПААТА;PAATA
БЕРИШВИЛИ;BERISHVILI
МЕЛОРИ;MELORI
БИГВАВА;BIGVAVA
ДАВИТ;DAVIT
БОЛКВАДЗЕ;BOLKVADZE
ВИТАЛИЙ;VITALY
БРЕГВАДЗЕ;BREGVADZE
БУРДУЛИ;BURDULI
МАТЭ;MATE
ВАЦАДЗЕ;VATSADZE
БЕКА;BEKA
ВАЧИБЕРАДЗЕ;VACHIBERADZE
ВОЛКОВИ;VOLKOVI
ГАБЕДАВА;GABEDAVA
ЮРИЙ;IURI
ГАБИСКИРИЯ;GABISKIRIA
ЛУКА;LUKA
ГАГНИДЗЕ;GAGNIDZE
ГАДРАНИ;GADRANI
ДАВИД;DAVIT
ГАМЕЗАРДАШВИЛИ;GAMEZARDASHVILI
ГАХОКИДЗЕ;GAKHOKIDZE
ЛЕВАНИ;LEVAN
ГВАЗАВА;GVAZAVA
ГВАРАМАДЗЕ;GVARAMADZE
ГВЕЛЕСИАНИ;GVELESIANI
ВАХТАНГ;VAKHTANG
ГВЕСЕЛИАНИ;GVELESIANI
ВАЛЕРИАНЕ;VALERIANE
ГВИЛИЯ;GVILIA
МАТЕ;MATE
ГВИНИАНИДЗЕ;GHVINIANIDZE
ГЕЛАДЗЕ;GELADZE
НИКОЛОЗ;NIKOLOZ
ГЕЛАШВИЛИ;GELASHVILI
ИРАКЛИЙ;IRAKLY
ГЕЛЕНАВА;GELENAVA
ИРАКЛИЙ;IRAKLIY
ГЕПЕРИДЗЕ;GEPERIDZE
МЕРАБ;MERAB
ГИГАУРИ;GIGAURI
ЗУРАБ;ZURAB
ГИГАШВИЛИ;GIGASHVILI
ВАСИЛ;VASIL
ГИГИАДЗЕ;GIGIADZE
ГОГИАШВИЛИ;GOGIASHVILI
РОМАН;ROMAN
ГОГИНАШВИЛИ;GOGINASHVILI
ГОГИЧАИШВИЛИ;GOGICHAISHVILI
АЛЕКСАНДР;ALEKSANDR
ГОГОБЕРИШВИЛИ;GOGOBERISHVILI
КАХА;KAKHA
ГОГОЛАДЗЕ;GOGOLADZE
УЧА;UCHA
ГОГОЛАШВИЛИ;GOGOLASHVILI
ГОЧА;GOCHA
ГОГРИЧИАНИ;GOGRICHIANI
ГОГИТА;GOGITA
ГОГУА;GOGUA
ГОНГАДЗЕ;GONGADZE
ГОРОЗИЯ;GOROZIA
ГОЦИРИДЗЕ;GOTSIRIDZE
ГИЯ;GIA
ГРИГАЛАВА;GRIGALAVA
ТЕДОРЕ;TEDORE
ГРИГАЛАШВИЛИ;GRIGALASHVILI
ЭЛГУДЖА;ELGUJA
ИОСИФ;SOSO
ГРИШИКАШВИЛИ;GRISHIKASHVILI
ГУГУШВИЛИ;GUGUSHVILI
ГУДЖАБИДЗЕ;GUJABIDZE
ГУДУШАУРИ;GHUDUSHAURI
ГУЛИАШВИЛИ;GULIASHVILI
АЛЕКСАНДР;ALEXANDER
ГУРУЛИ;GURULI
ГИЯ;GIJA
ВАСИЛИЙ;VASILY
ГУЧАШВИЛИ;GUCHASHVILI
ВАЛЬТЕР;VALTER
ГУЧУА;GUCHUA
ЗУРИКО;ZURIKO
ДАВИТАШВИЛИ;DAVITASHVILI
ДАВИТНИДЗЕ;DAVITNIDZE
ДАРАСЕЛИЯ;DARASELIA
ГЕДЕВАН;GEDEVAN
ДАТО;DATO
ДАРЦИМЕЛИЯ;DARTSIMELIA
МУРТАЗ;MURTAZ
ДАУШВИЛИ;DAUSHVILI
ДЖАБА;JABA
ДВАЛИ;DVALI
ЛАША;LASHA
ДВАЛИШВИЛИ;DVALISHVILI
АКАКИЙ;AKAKI
ДЕВАДЗЕ;DEVADZE
ДЕКАНОСИДЗЕ;DEKANOSIDZE
ДЕМЕТРАДЗЕ;DEMETRADZE
РАМАЗ;RAMAZ
ДЖАБНИДЗЕ;DZHABNIDZE
ДЖАКОБИЯ;JAKOBIA
ДЖАМАРАУЛИ;JAMARAULI
ДЖАНАШИЯ;JANASHIA
ЗАЗА;ZAZA
ДЖГЕРЕНАЯ;JGERENAIA
ГИЗО;GIZO
ДЖЕЛАДЗЕ;JELADZE
ЗВИАД;ZVIAD
ДЖАМБУЛ;JAMBUL
ДЖИГАУРИ;JIGHAURI
ДЖИНЧАРАДЗЕ;GINCHARADZE
ДЖИШКАРИАНИ;JISHKARIANI
ИВАН;MAMUKA
ДЖУГЕЛИ;JUGELI
ГЕЛА;GELA
ДЗАГНИДЗЕ;DZAGNIDZE
НИКОЛОЗ;NIKA
ДЗАЛАМИДЗЕ;DZALAMIDZE
ИРАКЛИЙ;IRAKLI
ДЗАРИЯ;DZARIA
МАРАТ;MARAT
ДЗАХМИШЕВ;DZAKHMISHEV
ДЗНЕЛАДЗЕ;DZNELADZE
ДЕНИС;DENIS
ДОБРОВОЛЬСКИЙ;DOBROVOLSKY
ГРИГОЛ;GRIGOL
ДОЛИДЗЕ;DOLIDZE
ТАРИЭЛ;TARIEL
ДУРДИАДЗЕ;DURDIADZE
ЖОРДАНИЯ;JORDANIA
ЖОРЖОЛИАНИ;ZHORZHOLIANI
ЗААЛИШВИЛИ;ZAALISHVILI
ЗАРАНДИЯ;ZARANDIA
БУДУ;BUDU
ЗИВЗИВАДЗЕ;ZIVZIVADZE
ИАШВИЛИ;IASHVILI
САНДРО;SANDRO
ИЛУРИДЗЕ;ILURIDZE
ИМЕДАДЗЕ;IMEDADZE
ИМЕДАШВИЛИ;IMEDASHVILI
ИНАЛИШВИЛИ;INALISHVILI
ИОНАНИДЗЕ;IONANIDZE
МИХАИЛ;MIKHAIL
КАВЕЛАШВИЛИ;KAVELASHVILI
КАВТАРАДЗЕ;KAVTARADZE
ВАЛЕРИЙ;VALERI
КАЗАИШВИЛИ;QAZAISHVILI
КАЙДАРАШВИЛИ;KAIDARASHVILI
КАКАБАДЗЕ;KAKABADZE
КАКУЛИЯ;KAKULIA
КАХАБЕР;KAKHA
КАЛАДЗЕ;KALADZE
КАНДЕЛАКИ;KANDELAKI
КАНКАВА;KANKAVA
АВТАНДИЛ;AVTANDIL
КАНТАРИЯ;KANTARIYA
КАНТАРИЯ;KANTARIA
КАПАНАДЗЕ;KAPANADZE
КАСРАДЗЕ;KASRADZE
КАЧАРАВА;KACHARAVA
НИКА;NIKA
ГУРАМ;GURAM
КАШИЯ;KASHIA
БАДРИ;BADRI
КВАРАЦХЕЛИЯ;KVARATSKHELIA
ХВИЧА;KHVICHA
РОИН;ROIN
КВАСХВАДЗЕ;KVASKHVADZE
КВЕКВЕСКИРИ;KVEKVESKIRI
СОЛОМОН;SOLOMON
КВЕРКВЕЛИЯ;KVIRKVELIA
КВЕРНАДЗЕ;KVERNADZE
КВИЛИТАЯ;KVILITAIA
КВИРКВЕЛИЯ;KVIRKVELIA
НУГЗАР;NUGZAR
КВИРТИЯ;KVIRTIYA
ЛЕВАН;LEVAN
КЕНИЯ;KENIA
КЕТАШВИЛИ;KETASHVILI
ТЕМУРИ;TEMUR
КЕЦБАЯ;KETSBAIA
КИКНАДЗЕ;KIKNADZE
КИЛАДЗЕ;KILADZE
ВАРЛАМ;VARLAM
КИЛАСОНИЯ;KILASONIA
КИНКЛАДЗЕ;KINKLADZE
ГЕОРГИЙ;GEORGE
КИПИАНИ;KIPIANI
КИТЕИШВИЛИ;KITEISHVILI
КЛИМИАШВИЛИ;KLIMIASHVILI
КОБАХИДЗЕ;KOBAKHIDZE
КОБЕРИДЗЕ;KOBERIDZE
КОБИАШВИЛИ;KOBIASHVILI
КОБОУРИ;KOBOURI
КОРГАЛИДЗЕ;KORGALIDZE
КОРГАЛИДЗЕ;KORGHALIDZE
КОРТУА;KORTUA
КОХРЕИДЗЕ;KOKHREIDZE
КОШКАДЗЕ;KOSHKADZE
КРАСОВСКИЙ;KRASOVSKI
ДМИТРИЙ;DIMITRI
КУДИНОВ;KUDINOV
ЛАЗАРЕ;LAZARE
КУПАТАДЗЕ;KUPATADZE
КУТАЛИЯ;KUTALIA
КУЦИЯ;KUTSIA
ЛАДАРИЯ;LADARIA
ЛИПАРТИЯ;LIPARTIA
ЛОБЖАНИДЗЕ;LOBZHANIDZE
САБА;SABA
ЛОБЖАНИДЗЕ;LOBJANIDZE
ЛОМАЯ;LOMAIA
ЛОРИЯ;LORIA
МАГРАДЗЕ;MAGHRADZE
МАЙСУРАДЗЕ;MAISURADZE
МАКАРИДЗЕ;MAKARIDZE
МАЛАНИЯ;MALANIYA
МАЛИ;MALI
АРКАДИЙ;ARKADY
МАЛИСОВ;MALISOV
МАМАРДАШВИЛИ;MAMARDASHVILI
МАМИНАШВИЛИ;MAMINASHVILI
ВЛАДИМИР;VLADIMER
МАМУЧАШВИЛИ;MAMUCHASHVILI
ТЕМУРИ;TEMURI
МАРГОШИЯ;MARGOSHIYA
МАРЦВАЛАДЗЕ;MARTSVALADZE
КАХА;KAKHI
МАХАРАДЗЕ;MAKHARADZE
МАЧУТАДЗЕ;MACHUTADZE
МЕГРЕЛАДЗЕ;MEGRELADZE
МЕЛКАДЗЕ;MELKADZE
МЕНТЕШАШВИЛИ;MENTESHASHVILI
МЕРЕБАШВИЛИ;MEREBASHVILI
МЖАВАНАДЗЕ;MZHAVANADZE
АЛЕКО;ALEKO
МЗЕВАШВИЛИ;MZEVASHVILI
МИКАБЕРИДЗЕ;MIKABERIDZE
МИКАДЗЕ;MIKADZE
ЖОРЖ;GEORGES
МИКАУТАДЗЕ;MIKATAUDZE
МИКЕЛТАДЗЕ;MIKELTADZE
МИНАШВИЛИ;MINASHVILI
МОДЕБАДЗЕ;MODEBADZE
МОНАСЕЛИДЗЕ;MONASELIDZE
МУДЖИРИ;MUJIRI
МУМЛАДЗЕ;MUMLADZE
МЧЕДЛИДЗЕ;MCHEDLIDZE
НАВАЛОВСКИЙ;NAVALOVSKI
НАДИРАДЗЕ;NADIRADZE
