ru_name;en_name
ГИУЛИ;GIULI
АЛАСАНИЯ;ALASANIA
ЗАЗА;ZAZA
АЛЕКСИДЗЕ;ALEKSIDZE
ГЕОРГИЙ;GIORGI
АНЧАБАДЗЕ;ANCHABADZE
ДМИТРИЙ;DIMITRI
БАКРАДЗЕ;BAKRADZE
МИХАИЛ;MIKHAIL
БАРАТАЕВ;BARATAEV
НИКОЛАЙ;NIKOLOZ
БЕРДЗЕНИШВИЛИ;BERDZENISHVILI
ВАХТАНГ;VAKHTANG
БЕРИДЗЕ;BERIDZE
ВАХТАНГ;VAXTANG
ГУРУЛИ;GURULI
ВАХУШТИ;VAKHUSHTI
БАГРАТИОНИ;KARTLI
ЗИНАИДА;ZINAIDA
ГАГЛОЕВА;GAGLOYEVA
СЕРГЕЙ;SERGI
ГОРГАДЗЕ;GORGADZE
ИВАН;IVANE
ДЖАВАХИШВИЛИ;JAVAKHISHVILI
МОИСЕЙ;MOSE
ДЖАНАШВИЛИ;JANASHVILI
СИМОН;SIMON
ДЖАНАШИА;JANASHIA
ЯКОВ;IAKOB
ЦУРТАВЕЛИ;TSURTAVELI
ПЛАТОН;PLATON
ИОСЕЛИАНИ;IOSELIANI
ГЕНРИ;HENRY
КУПРАШВИЛИ;KUPRASHVILI
МАРИАМ;MARIAN
ЛОРДКИПАНИДЗЕ;LORTKIPANIDZE
НИКОЛАЙ;NICHOLAS
МАРР;MARR
МИХАИЛ;MIKHEIL
МАХАРАДЗЕ;MAKHARADZE
МЕЛИКИШВИЛИ;MELIKISHVILI
ЛЕОНТИ;LEONTI
МРОВЕЛИ;MROVELI
ДАВИД;DAVID
МУСХЕЛИШВИЛИ;MUSKHELISHVILI
ОТХМЕЗУРИ;OTKHMEZURI
ЗУРАБ;ZURAB
ПАПАСКИРИ;PAPASKIRI
САБИНИН;SABININ
СУМБАТ;SUMBAT
ДАВИТИСДЗЕ;DAVITIS-DZE
ЭКВТИМЕ;EKVTIME
ТАКАИШВИЛИ;TAKAISHVILI
МИХАИЛ;MICHEL
ТАМАРАШВИЛИ;TAMARATI
КИРИЛЛ;CYRIL
ТУМАНОВ;TOUMANOFF
ХОШТАРИЯ;KHOSHTARIA
ЦЕРЕТЕЛИ;TSERETELI
ЧИТАЯ;CHITAIA
ГУРАМ;GURAM
ШАРАДЗЕ;SHARADZE
КРИСТИНА;KRISTINE
ШАРАШИДЗЕ;SHARASHIZE
