ru_name;en_name
ГРИГОЛ;GRIGOL
АБАШИДЗЕ;ABASHIDZE
ИРАКЛИЙ;IRAKLI
ЛЕЙЛА;LEILA
ВАЖА;VAZHA
АЗАРАШВИЛИ;AZARASHVILI
АСКАР;ASKAR
АКАЕВ;AKAYEV
НАНА;NANA
АЛЕКСАНДРИЯ;ALEXANDRIA
ЛЕВАН;LEVAN
АЛЕКСИДЗЕ;ALEKSIDZE
ЭЛГУДЖА;ELGUJA
АМАШУКЕЛИ;AMASHUKELI
ВИКТОР;VICTOR
АМБАРЦУМЯН;AMBARTSUMIAN
ЧАБУА;CHABUA
АМИРЭДЖИБИ;AMIREJIBI
ВЕРИКО;VERIKO
АНДЖАПАРИДЗЕ;ANJAPARIDZE
ЗУРАБ;ZURAB
АНДЖАПАРИДЗЕ;ANDJAPARIDZE
АНДРИЯ;ANDRIA
АПАКИДЗЕ;APAKIDZE
ТИНА;TINATIN
АСАТИАНИ;ASATIANI
ЛАЛИ;LALI
БАДУРАШВИЛИ;BADURASHVILI
ВАХТАНГ;VAKHTANG
БАЛАВАДЗЕ;BALAVADZE
АНДРЕЙ;ANDRIA
БАЛАНЧИВАДЗЕ;BALANCHIVADZE
МИХАИЛ;MIKHAIL
БАРЫШНИКОВ;BARYSHNIKOV
ОЛЕГ;OLEG
БАСИЛАШВИЛИ;BASILASHVILI
АЛЕКСАНДР;ALEKSANDRE
БАСИЛАЯ;BASILAIA
ГЕОРГИЙ;GIORGI
БАТИАШВИЛИ;BATIASHVILI
РАШИД;RASHID
БЕЙБУТОВ;BEHBUDOV
МЕРАБ;MERAB
БЕРДЗЕНИШВИЛИ;BERDZENISHVILI
БЕРИДЗЕ;BERIDZE
ГИВИ;GIVI
БЕРИКАШВИЛИ;BERIKASHVILI
ЛЕО;LEO
БОКЕРИЯ;BOKERIYA
БАЧАНА;BACHANA
БРЕГВАДЗЕ;BREGVADZE
НАНИ;NANI
ВЛАДИМИР;VLADIMIR
БУРАКОВСКИЙ;BURAKOVSKY
БУРДУЛИ;BURDULI
НАТАЛЬЯ;NATALYA
БУРМИСТРОВА;BURMISTROVA
ПААТА;PAATA
БУРЧУЛАДЗЕ;BURCHULADZE
ЭЛИСО;ELISO
ВИРСАЛАДЗЕ;VIRSALADZE
РЕЗО;REVAZ
ГАБРИАДЗЕ;GABRIADZE
АМИРАН;AMIRAN
ГАМКРЕЛИДЗЕ;GAMKHRELIDZE
ТАМАЗ;TAMAZ
ГАМКРЕЛИДЗЕ;GAMKRELIDZE
НОНА;NONA
ГАПРИНДАШВИЛИ;GAPRINDASHVILI
ЛАНА;LANA
ГОГОБЕРИДЗЕ;GOGOBERIDZE
РИСМАГ;RIZMAG
ГОРДЕЗИАНИ;GORDEZIANI
ВИКТОР;VIKTOR
ГОЦИРИДЗЕ;GOTSIRIDZE
ЛАДО;LADO
ГУДИАШВИЛИ;GUDIASHVILI
ГЕОРГИЙ;GEORGIY
ГУЛИА;GULIA
ДАВЫДОВ;DAVYDOV
ДАНЕЛИЯ;DANELIYA
МЕДЕЯ;MEDEA
ДЖАПАРИДЗЕ;JAPARIDZE
ОТАР;OTAR
УЧА;UCHA
МЕДЕЯ;MEDEYA
ДЖУГЕЛИ;JUGELI
ОДИССЕЙ;ODYSSEAS
ДИМИТРИАДИ;DIMITRIADIS
КЕТИ;KETI
ДОЛИДЗЕ;DOLIDZE
ГУРАМ;GURAM
ДОЧАНАШВИЛИ;DOCHANASHVILI
СЕРГЕЙ;SERGI
ДУРМИШИДЗЕ;DURMISHIDZE
АВЛИПИЙ;AVLIPI
ЗУРАБАШВИЛИ;ZURABASHVILI
ЛИАНА;LIANA
ИСАКАДЗЕ;ISAKADZE
ШОТА;SHOTA
КАВЛАШВИЛИ;KAVLASHVILI
КАХИ;KAKHI
КАВСАДЗЕ;KAVSADZE
КАРЛО;KARLO
КАЛАДЗЕ;KALADZE
АННА;ANA
КАЛАНДАДЗЕ;KALANDADZE
ГИЯ;GIA
КАНЧЕЛИ;KANCHELI
КАХИДЗЕ;KAKHIDZE
БИДЗИНА;BIDZINA
КВЕРНАДЗЕ;KVERNADZE
ТЕМУР;TEMUR
КВИТЕЛАШВИЛИ;KVITELASHVILI
ЭТЕРИ;ETER
КЕМЕРТЕЛИДЗЕ;QEMERTELIDZE
НИКОЛАЙ;NIKO
КЕЦХОВЕЛИ;KETSKHOVELI
КИКАБИДЗЕ;KIKABIDZE
АЛЕКСАНДР;ALEXANDER
КОРСАНТИЯ;KORSANTIA
РОБЕРТ;ROBERT
КОЧАРЯН;KOCHARYAN
ЛЕВ;LEV
КУЛИДЖАНОВ;KULIDZHANOV
КУПРАДЗЕ;KUPRADZE
МУРМАН;MURMAN
ЛЕБАНИДЗЕ;LEBANIDZE
ЕВГЕНИЙ;YEVGENI
ЛЕБЕДЕВ;LEBEDEV
НИКОЛОЗ;NIKOLOZ
ЛЕКИШВИЛИ;LEKISHVILI
КЕТЕВАН;KETEVAN
ЛОМТАТИДЗЕ;LOMTATIDZE
ГРИГОРИЙ;GIGA
ЛОРДКИПАНИДЗЕ;LORTKIPANIDZE
МАРИАМ;MARIAN
МАНАБА;MANABA
МАГОМЕДОВА;MAGOMEDOVA
МАРКИЗ;MARKIZ
КОНСТАНТИН;KOTE
МАХАРАДЗЕ;MAKHARADZE
НОДАР;NODAR
МГАЛОБЛИШВИЛИ;MGALOBLISHVILI
МЕДЗМАРИАШВИЛИ;MEDZMARIASHVILI
КЭТИ;KATIE
