ru_name;en_name
ШАЛВА;SHALVA
АЗМАЙПАРАШВИЛИ;AZMAIPARASHVILI
ГЕОРГИЙ;GIORGI
АЛЕКСИДЗЕ;ALEKSIDZE
МЕДЕЯ;MEDEA
АМИРАНАШВИЛИ;AMIRANASHVILI
ПЁТР;PETR
НИНА;NINA
АНАНИАШВИЛИ;ANANIASHVILI
ДАВИД;DAVID
АНДГУЛАДЗЕ;ANDGULADZE
ЗУРАБ;ZURAB
АНДЖАПАРИДЗЕ;ANDJAPARIDZE
АЛЕКСАНДР;SANDRO
АХМЕТЕЛИ;AKHMETELI
МЕЛИТОН;MELITON
БАЛАНЧИВАДЗЕ;BALANCHIVADZE
ТАМАЗ;TAMAZ
ВАШАКИДЗЕ;VASHAKIDZE
СИМОН;SIMON
ВИРСАЛАДЗЕ;VIRSALADZE
ЛЮБОВЬ;LYUBOV
ВОИНОВА-ШИКАНЯН;VOINOVA-SHIKANYAN
ГАМРЕКЕЛИ;GAMREKELI
ГОРГАДЗЕ;GORGADZE
МИХАИЛ;MYKHAILO
ГРИШКО;HRYSHKO
АЙКАНУШ;HAYKANOUSH
ДАНИЭЛЯН;DANIELYAN
ОДИССЕЙ;ODYSSEAS
ДИМИТРИАДИ;DIMITRIADIS
АЛЕКСАНДР;ALEKSANDR
ИНАШВИЛИ;INASHVILI
ДЖАНСУГ;JANSUG
КАХИДЗЕ;KAKHIDZE
ЗУРАБ;ZURA
КИКАЛЕЙШВИЛИ;KIKALEISHVILI
ГРИГОРИЙ;GRIGOL
КИЛАДЗЕ;KILADZE
ФИЛИМОН;FILIMON
КОРИДЗЕ;KORIDZE
МИХАИЛ;MIKHAIL
ЛАВРОВСКИЙ;LAVROVSKY
СЕРГЕЙ;SERGEI
ЛЕМЕШЕВ;LEMESHEV
КОНСТАНТИН;KOTE
МАРДЖАНИШВИЛИ;MARJANISHVILI
АЛЕКСАНДР;ALEXANDER
МЕЛИК-ПАШАЕВ;MELIK-PASHAYEV
ИРМА;IRMA
НИОРАДЗЕ;NIORADZE
НАР;NAR
ОВАНИСЯН;OVANISYAN
АРИЙ;ARIY
ПАЗОВСКИЙ;PAZOVSKY
МАРИЯ;MARIA
ПЕРИНИ;PERINI
ПОЦХВЕРАШВИЛИ;POTSKHVERASHVILI
НИНА;NINO
РАМИШВИЛИ;RAMISHVILI
НИКОЛАЙ;NIKOLAY
СМОЛИЧ;SMOLICH
СОТКИЛАВА;SOTKILAVA
ИЛЬЯ;ILIKO
СУХИШВИЛИ;SUKHISHVILI
ВАХТАНГ;VAKHTANG
ТАБЛИАШВИЛИ;TABLIASHVILI
МИХАИЛ;MIKAEL
ТАВРИЗИАН;TABRIZYAN
ЦИСАНА;TSISANA
ТАТИШВИЛИ;TATISHVILI
ЦВАРИАНИ;TSVARIANI
ВЕРА;VERA
ЦИГНАДЗЕ;TSIGNADZE
ЧАБУКИАНИ;CHABUKIANI
СУРЕН;SOUREN
ЧАРЕКЯН;CHAREKYAN
НИКОЛАЙ;MYKOLA
ЧАСТИЙ;CHASTY
ЛАМАРА;LAMARA
ЧКОНИЯ;CHKONIA
