ru_name;en_name
ВАЛЕРИ;VALERI
АБРАМИДЗЕ;ABRAMIDZE
ГУРАМ;GURAM
АДЖОЕВ;ADZHOYEV
ИРАКЛИ;IRAKLI
АЗАРОВИ;AZAROVI
КАХАБЕР;KAKHABER
АЛАДАШВИЛИ;ALADASHVILI
РАТИ;RATI
АЛЕКСИДЗЕ;ALEKSIDZE
МОХАММЕД;MOHAMMED
АЛИЮ;ALIYU
АЛЕКСАНДР;ALEKSANDRE
АМИСУЛАШВИЛИ;AMISULASHVILI
ДЖАНО;DZHANO
АНАНИДЗЕ;ANANIDZE
НИКОЛАЙ;NIKOLAY
АНИКИН;ANIKIN
ГЕОРГИЙ;GIORGI
АНТАДЗЕ;ANTADZE
ДМИТРИЙ;DMITRY
АНТИЛЕВСКИЙ;ANTILEVSKY
МАМУКА;MAMUKA
АПЦИАУРИ;APTSIAURI
АЛЕКСАНДР;ALEKSANDR
АПШЕВ;APSHEV
БАЧАНА;BACHANA
АРАБУЛИ;ARABULI
АРЧИЛ;ARCHIL
АРВЕЛАДЗЕ;ARVELADZE
РЕВАЗ;REVAZ
ШОТА;SHOTA
ЗУРАБИ;ZURAB
АРЗИАНИ;ARZIANI
МАЛХАЗ;MALKHAZ
ГЕОРГИЙ;GEORGY
АРОШИДЗЕ;AROSHIDZE
КАХИ;KAKHI
АСАТИАНИ;ASATIANI
МИХАИЛ;MIKHAIL
АСЛАМАЗОВ;ASLAMAZOV
ВЛАДИМИР;VLADIMIR
АХАЛАЯ;AKHALAIA
МИХАИЛ;MIKHEIL
АШВЕТИЯ;ASHVETIA
АСЛАН;ASLAN
БАЛАДЗЕ;BALADZE
БАРКАЯ;BARKAYA
БЕСИК;BESIK
БЕРАДЗЕ;BERADZE
БЕРДЗЕНИШВИЛИ;BERDZENISHVILI
ВИКТОР;VIKTOR
БЕРЕЖНОЙ;BEREZHNOY
МЕЛОРИ;MELORI
БИГВАВА;BIGVAVA
ГАВРИИЛ;GAVRIIL
БОГАТЕЛЛО;BOGATELLO
СТЕФАН;STEFAN
БУКОРАЦ;BUKORAC
ЗАУР;ZAUR
БУЛИЯ;BULIYA
БУРДУЛИ;BURDULI
ЮРИЙ;YURI
ВАРДИМИАДИ;VARDIMIADI
МАТЭ;MATE
ВАЦАДЗЕ;VATSADZE
ВЕЛЕВ;VELEV
ДАВИТ;DAVIT
ВОЛКОВИ;VOLKOVI
ВОСКОБОЙНИКОВ;VOSKOBOINIKOV
ГАБЕДАВА;GABEDAVA
ОТАР;OTARI
ГАБЕЛИЯ;GABELIA
ГЕОРГИЙ;GEORGI
ГАВАШЕЛИ;GAVASHELI
ТЕНГИЗ;TENGIZ
КОНСТАНТИН;KONSTANTIN
ГАГНИДЗЕ;GAGNIDZE
ЛУКА;LUKA
НИКОЛАЙ;NIKOLAI
ГРИГОРИЙ;GRIGOL
ГАГУА;GAGUA
ГИОРГИ;GIORGI
ГАДРАНИ;GADRANI
ВАЛЕРИЙ;VALERY
ГАЗЗАЕВ;GAZZAEV
АССИР;ASSIR
ГАЛЬПЕРИН;GALPERIN
ГАХОКИДЗЕ;GAKHOKIDZE
ДАВИД;DAVIT
ГВАРАМАДЗЕ;GVARAMADZE
ГВЕЛЕСИАНИ;GVELESIANI
ГЕЛАДЗЕ;GELADZE
НИКОЛОЗ;NIKOLOZ
ГЕЛАШВИЛИ;GELASHVILI
ВАСИЛ;VASIL
ГИГИАДЗЕ;GIGIADZE
ГОГИЧАИШВИЛИ;GOGICHAISHVILI
ДАВИД;DAVID
ГОГИЯ;GOGIYA
АВТАНДИЛ;AVTANDIL
ГОГОБЕРИДЗЕ;GOGOBERIDZE
ГОГОБЕРИШВИЛИ;GOGOBERISHVILI
КАХА;KAKHA
ГОГОЛАДЗЕ;GOGOLADZE
ГОЧА;GOCHA
ГОГРИЧИАНИ;GOGRICHIANI
ГОГИТА;GOGITA
ГОГУА;GOGUA
ГРАММАТИКОПУЛО;GRAMMATIKOPULO
ЛИБОР;LIBOR
ГРДЛИЧКА;HRDLICKA
ГРИГАЛАШВИЛИ;GRIGALASHVILI
ЭЛГУДЖА;ELGUJA
ИОСИФ;SOSO
ГРИШИКАШВИЛИ;GRISHIKASHVILI
ДЖЕМАЛ;DZHEMAL
ГУБАЗ;GUBAZ
ГУДЖАБИДЗЕ;GUJABIDZE
ГИЯ;GIJA
ГУРУЛИ;GURULI
ГУЦАЕВ;GUTSAEV
ВАЛЬТЕР;VALTER
ГУЧУА;GUCHUA
ЗУРИКО;ZURIKO
ДАВИТАШВИЛИ;DAVITASHVILI
ДАВИТНИДЗЕ;DAVITNIDZE
ВИТАЛИЙ;VITALY
ДАРАСЕЛИЯ;DARASELIA
ИЛЬЯ;ILIA
ДАТУНАШВИЛИ;DATUNASHVILI
ДЖАБА;JABA
ДВАЛИ;DVALI
ДВАЛИШВИЛИ;DVALISHVILI
ТАРИЕЛ;TARIEL
АКАКИЙ;AKAKI
ДЕВАДЗЕ;DEVADZE
ДЕМЕТРАДЗЕ;DEMETRADZE
ГИВИ;GIVI
ДЖАВАХАДЗЕ;JAVAKHADZE
ЛАША;LASHA
ДЖАКОБИЯ;JAKOBIA
ДЖАМАРАУЛИ;JAMARAULI
ГАЙОЗ;GAIOZ
ДЖЕДЖЕЛАВА;JEJELAVA
СПАРТАК;SPARTAK
ДЖЕДЖЕЛАВА;DZHEDZHELAVA
ГИЗО;GIZO
ДЖЕЛАДЗЕ;JELADZE
ЗВИАД;ZVIAD
ДЖАМБУЛ;JAMBUL
ДЖИГАУРИ;JIGHAURI
ПААТА;PAATA
ДЖИНЧАРАДЗЕ;GINCHARADZE
ДЖИШКАРИАНИ;JISHKARIANI
ДЖОДЖУА;JOJUA
ВЛАДИМИР;VLADIMER
ДЖОРБЕНАДЗЕ;JORBENADZE
ДЖОХАДЗЕ;DZHOHADZE
ДОНАЛЬД;DONALD
ДЖУССЕ;DJOUSSE
НИКОЛОЗ;NIKA
ДЗАЛАМИДЗЕ;DZALAMIDZE
ИРАКЛИЙ;IRAKLI
ДЗАРИЯ;DZARIA
ВАЛЕРИЙ;VALERIY
ДЗЕБИСАШВИЛИ;DZEBISASHVILI
ДЗОДЗУАШВИЛИ;DZODZUASHVILI
НИЯЗИ;NIJASBEI
ДЗЯПШИПА;DSJAPSCHIPA
АЛЕКСАНДР;ALEXANDRE
ДОРОХОВ;DOROKHOV
ТАРИЭЛ;TARIEL
ДУРДИАДЗЕ;DURDIADZE
ДЬЯЧЕНКО;DYACHENKO
ПЕТАР;PETAR
ЕЛИЧ;JELIC
ВАЖА;VAZHA
ЖВАНИЯ;ZHVANIA
ТЕМУР;TEMUR
ЖИБА;ZHIBA
АНДРЕЙ;ANDREI
ЖОРДАНИЯ;ZORDANIA
ЛЕВАН;LEVAN
ЖОРДАНИЯ;ZHORDANIYA
МЕРАБ;MERAB
ЖОРДАНИЯ;JORDANIA
ЗАЗРОЕВ;ZAZROYEV
ДЖЕМАЛ;JEMAL
ЗЕИНКЛИШВИЛИ;TSEINKLISHVILI
НЕД;NED
ЗЕЛИЧ;ZELIC
БУДУ;BUDU
ЗИВЗИВАДЗЕ;ZIVZIVADZE
ИАШВИЛИ;IASHVILI
САНДРО;SANDRO
ДМИТРИЙ;DMYTRO
ИВАНИСЕНЯ;IVANISENYA
ВАСИЛИЙ;VASILY
ИВАНОВ;IVANOV
АЛЕКСЕЙ;ALEKSIEJ
ИЛИАДИ;ILIADI
ИЛУРИДЗЕ;ILURIDZE
ГЕЛА;GELA
ИНАЛИШВИЛИ;INALISHVILI
ИОСЕЛИАНИ;IOSELIANI
РАФА;RAFA
ЙОРДА;JORDA
АНЗОР;ANZOR
КАВАЗАШВИЛИ;KAVAZASHVILI
КАВЕЛАШВИЛИ;KAVELASHVILI
БЕКА;BEKA
КАВТАРАДЗЕ;KAVTARADZE
НОДАР;NODAR
ОТАР;OTAR
КАКАБАДЗЕ;KAKABADZE
НУГЗАР;NUGZAR
КАКИЛАШВИЛИ;KAKILASHVILI
КАХАБЕР;KAKHA
КАЛАДЗЕ;KALADZE
КАЛОЕВ;KALOYEV
КАНДЕЛАКИ;KANDELAKI
КАНКАВА;KANKAVA
КАНТАРИЯ;KANTARIYA
ПИРУЗ;PIRUZ
КАНТЕЛАДЗЕ;KANTELADZE
КАПАНАДЗЕ;KAPANADZE
АЛЕКСАНДР;OLEKSANDR
КАПЛИЕНКО;KAPLIYENKO
КВАМЕ;KWAME
КАРИКАРИ;KARIKARI
КАЧАРАВА;KACHARAVA
КАШИЯ;KASHIA
БАДРИ;BADRI
КВАРАЦХЕЛИЯ;KVARATSKHELIA
ХВИЧА;KHVICHA
РОИН;ROIN
КВАСХВАДЗЕ;KVASKHVADZE
НИКА;NIKA
КВЕКВЕСКИРИ;KVEKVESKIRI
КВЕРНАДЗЕ;KVERNADZE
КВИЛИТАЯ;KVILITAIA
ДАТО;DATO
КВИРКВЕЛИЯ;KVIRKVELIA
КЕТАШВИЛИ;KETASHVILI
ТЕМУРИ;TEMUR
КЕЦБАЯ;KETSBAIA
КИКНАДЗЕ;KIKNADZE
КИНКЛАДЗЕ;KINKLADZE
КИПИАНИ;KIPIANI
КИТЕИШВИЛИ;KITEISHVILI
АЛЕКСАНДР;ALEXANDER
КОБАХИДЗЕ;KOBAKHIDZE
КОБИАШВИЛИ;KOBIASHVILI
КОБОУРИ;KOBOURI
НИКОЛАЙ;MYKOLA
КОВТАЛЮК;KOVTALYUK
ВАХТАНГ;VAKHTANG
КОПАЛЕЙШВИЛИ;KOPALEISHVILI
КОРГАЛИДЗЕ;KORGHALIDZE
КОРИДЗЕ;KORIDZE
ТАМАЗ;TAMAZ
КОСТАВА;KOSTAVA
КАРЛЕС;CARLES
КОТО;COTO
КОТРИКАДЗЕ;KOTRIKADZE
СЕРГЕЙ;SERGO
КОШКАДЗЕ;KOSHKADZE
ДМИТРИЙ;DIMITRI
КУДИНОВ;KUDINOV
МАТИАС;MATHIAS
КУРЁР;COUREUR
КУТАЛИЯ;KUTALIA
СЕРГЕЙ;SERGEI
КУТИВАДЗЕ;KUTIVADZE
КУЦИЯ;KUTSIA
ОГНИЕН;OGNJEN
ЛАКИЧ;LAKIC
СЕРГЕЙ;SERHIY
ЛИТОВЧЕНКО;LITOVCHENKO
ЛОБЖАНИДЗЕ;LOBZHANIDZE
САБА;SABA
УЧА;UCHA
ЛОБЖАНИДЗЕ;LOBJANIDZE
ЛУАРСАБ;LUARSAB
ЛОЛАДЗЕ;LOLADZE
ЛОМАЯ;LOMAIA
ЛОРИЯ;LORIA
МАРГАНИЯ;MARGANIYA
ЗОРАН;ZORAN
МАРУШИЧ;MARUSIC
КАХА;KAKHI
МАХАРАДЗЕ;MAKHARADZE
МАЧАИДЗЕ;MACHAIDZE
МАНУЧАР;MANUCHAR
МЕГРЕЛАДЗЕ;MEGRELADZE
МЕЛКАДЗЕ;MELKADZE
МЕРЕБАШВИЛИ;MEREBASHVILI
МЕСХИ;MESKHI
СЛАВА;SLAVA
МЕТРЕВЕЛИ;METREVELI
МИКАБЕРИДЗЕ;MIKABERIDZE
МИКАДЗЕ;MIKADZE
МИКЕЛТАДЗЕ;MIKELTADZE
МИНАЕВ;MINAEV
МОДЕБАДЗЕ;MODEBADZE
МОНАСЕЛИДЗЕ;MONASELIDZE
МУДЖИРИ;MUDZHIRI
МУДЖИРИ;MUJIRI
КАРЛО;KARLO
МЧЕДЛИДЗЕ;MCHEDLIDZE
БОГДАН;BOHDAN
МЫШЕНКО;MYSHENKO
НАВАЛОВСКИЙ;NAVALOVSKI
НАУМ;NAUM
НАУМЦЕВ;NAUMTSEV
НЕМСАДЗЕ;NEMSADZE
ЭДУАРД;EDUARD
НИКОЛАЙШВИЛИ;NIKOLAYSHVILI
НИНУА;NINUA
НОДИЯ;NODIA
НОРАКИДЗЕ;GIGA
ЛЕВАНОВИЧ;NORAKIDZE
