ru_name;en_name
ВАЛЕРИ;VALERI
АБРАМИДЗЕ;ABRAMIDZE
ГЕОРГИЙ;GIORGI
ПАПУНАИШВИЛИ;ABURJANIA
ЯКОБ;IAKOB
АБХАЗАВА;APKHAZAVA
РАТИ;RATI
АЛЕКСИДЗЕ;ALEKSIDZE
БЕСИК;BESIK
АМАШУКЕЛИ;AMASHUKELI
СЕРГЕЙ;SERGEY
АПРЕСЯН;APRESYAN
ГИОРГИ;GIORGI
АРАБИДЗЕ;ARABIDZE
АРЧИЛ;ARCHIL
АРВЕЛАДЗЕ;ARVELADZE
ВАТО;VATO
РЕВАЗ;REVAZ
АРДАЗИШВИЛИ;ARDAZISZWILI
НОДАР;NODAR
АХАЛКАЦИ;AKHALKATSI
БАЛАШВИЛИ;BALASHVILI
ЗАКАРИЯ;ZAKARIA
БЕГЛАРИШВИЛИ;BEGLARISHVILI
БЕРАДЗЕ;BERADZE
ГАВРИИЛ;GAVRIIL
БОГАТЕЛЛО;BOGATELLO
ЭНДИКА;ENDIKA
БОРДАС;BORDAS
ВЛАДИМИР;VLADIMIR
БУРДУЛИ;BURDULI
МАТЭ;MATE
ВАЦАДЗЕ;VATSADZE
КОНСТАНТИН;KONSTANTIN
ГАГНИДЗЕ;GAGNIDZE
ДАВИД;DAVIT
ГВАРАМАДЗЕ;GVARAMADZE
ВАХТАНГ;VAKHTANG
ГВЕСЕЛИАНИ;GVELESIANI
ГИЯ;GIORGI
ГЕГУЧАДЗЕ;GEGUCHADZE
РОМАН;ROMAN
ГОГИНАШВИЛИ;GOGINASHVILI
КАХАБЕР;KAKHABER
ГОГИЧАИШВИЛИ;GOGICHAISHVILI
АЛЕКСАНДР;ALEKSANDR
ГОГОБЕРИШВИЛИ;GOGOBERISHVILI
КАХА;KAKHA
ГОГОЛАДЗЕ;GOGOLADZE
ГОРОЗИЯ;GOROZIA
ИОСИФ;SOSO
ГРИШИКАШВИЛИ;GRISHIKASHVILI
ГУДУШАУРИ;GHUDUSHAURI
ЗУРИКО;ZURIKO
ДАВИТАШВИЛИ;DAVITASHVILI
ДАВИТНИДЗЕ;DAVITNIDZE
ДАВТЯН;DAVTYAN
ВИТАЛИЙ;VITALY
ДАРАСЕЛИЯ;DARASELIA
ДАТО;DATO
ДАРЦИМЕЛИЯ;DARTSIMELIA
ДЖАНАШИЯ;JANASHIA
ЗАЗА;ZAZA
ГАЙОЗ;GAIOZ
ДЖЕДЖЕЛАВА;JEJELAVA
МИХАИЛ;MIKHEIL
ДЖИШКАРИАНИ;JISHKARIANI
ШОТА;SHOTA
ДЖОДЖУА;DZHODZHUA
ИВАН;MAMUKA
ДЖУГЕЛИ;JUGELI
ДЗНЕЛАДЗЕ;DZNELADZE
АЛЕКСАНДР;ALEXANDRE
ДОРОХОВ;DOROKHOV
ДЬЯЧЕНКО;DYACHENKO
ЛЕВАН;LEVAN
ЖОРДАНИЯ;ZHORDANIYA
ЛУКА;LUKA
ЗАРАНДИЯ;ZARANDIA
ГРИГОЛ;GRIGOL
ИМЕДАДЗЕ;IMEDADZE
ИСЛОМ;ISLOM
ИНОМОВ;INOMOV
ГИВИ;GIVI
ИОСЕЛИАНИ;IOSELIANI
МИХАИЛ;MIKHAIL
КАВЕЛАШВИЛИ;KAVELASHVILI
КАВТАРАДЗЕ;KAVTARADZE
КАЙДАРАШВИЛИ;KAIDARASHVILI
ГЕОРГИЙ;GEORGY
КАЙШАУРИ;KAYSHAURI
КАКУЛИЯ;KAKULIA
АВТАНДИЛ;AVTANDIL
КАПАНАДЗЕ;KAPANADZE
ТАРИЭЛ;TARIEL
ГУРАМ;GURAM
КАШИЯ;KASHIA
КЕНИЯ;KENIA
ГЕОРГИЙ;GEORGI
КИКНАДЗЕ;KIKNADZE
ВАРЛАМ;VARLAM
КИЛАСОНИЯ;KILASONIA
ДАВИД;DAVID
КИПИАНИ;KIPIANI
ИРАКЛИЙ;IRAKLI
КЛИМИАШВИЛИ;KLIMIASHVILI
АЛЕКСАНДР;ALEXANDER
КОБАХИДЗЕ;KOBAKHIDZE
МАМУКА;MAMUKA
КОПИН;KOPIN
ОТАР;OTAR
КОРГАЛИДЗЕ;KORGHALIDZE
НИКОЛАЙ;NIKOLAI
КУЗНЕЦОВ;KUZNETSOV
ЛАЗАРЕ;LAZARE
КУПАТАДЗЕ;KUPATADZE
УЧА;UCHA
ЛОБЖАНИДЗЕ;LOBJANIDZE
ЛУАРСАБ;LUARSAB
ЛОЛАДЗЕ;LOLADZE
ЛОМАЯ;LOMAIA
МАМАРДАШВИЛИ;MAMARDASHVILI
АЛЬБЕРТ;ALBERT
МАРАНДЖЕВ;MARANDZHEV
ТЕМУРИ;TEMURI
МАРГОШИЯ;MARGOSHIYA
КАХА;KAKHI
МАХАРАДЗЕ;MAKHARADZE
ГОЧА;GOCHA
МАЧАИДЗЕ;MACHAIDZE
ЗУРАБ;ZURAB
МЕНТЕШАШВИЛИ;MENTESHASHVILI
МЕСХИ;MESKHI
АЛЕКО;ALEKO
МЗЕВАШВИЛИ;MZEVASHVILI
МИКАДЗЕ;MIKADZE
МУДЖИРИ;MUJIRI
НЕМСАДЗЕ;NEMSADZE
СЕРГЕЙ;SERGO
ОРБЕЛАДЗЕ;ORBELADZE
ВИКТОР;VICTOR
ПАНЮКОВ;PANYUKOV
РУСИЯ;RUSIA
ЭДИК;EDIK
САДЖАЯ;SADZHAYA
ЛАША;LASHA
САЛУКВАДЗЕ;SALUKVADZE
ДАВИТ;DAVIT
САМУРКАСОВИ;SAMURKASOVI
НИКА;NIKA
САНДОХАДЗЕ;SANDOKHADZE
РАФАЭЛЬ;RAFAEL
САФАРОВ;SAFAROV
СЕТУРИДЗЕ;SETURIDZE
АНЗОР;ANZOR
СИАМАШВИЛИ;SIAMASHVILI
СИЛАГАДЗЕ;SILAGADZE
СИРАДЗЕ;SIRADZE
ИРАКЛИ;IRAKLI
СИРБИЛАДЗЕ;SIRBILADZE
СИХАРУЛИДЗЕ;SIKHARULIDZE
ТЕНГИЗ;TENGIZ
СИЧИНАВА;SICHINAVA
СОМОВ;SOMOV
ВАЖА;VAZHA
ТАРХНИШВИЛИ;TARKHNISHVILI
ТКЕБУЧАВА;TKEBUCHAVA
СЕВАСТЬЯН;SEVASTI
ТОДУА;TODUA
ГЕНРИХ;GENRIKH
ФЕДОСОВ;FEDOSOV
ХИДЕШЕЛИ;KHIDESHELI
ХИЗАНИШВИЛИ;KHIZANISHVILI
ХОМЕРИКИ;KHOMERIKI
ЭЛГУДЖА;ELGUDZHA
ХУЦИШВИЛИ;KHUTSISHVILI
ЦАГАРЕЙШВИЛИ;TSAGAREISHVILI
МУРАД;MURAD
ЦИВЦИВАДЗЕ;TSIVTSIVADZE
МАТЕ;MATE
ЦИНЦАДЗЕ;TSINTSADZE
ЦКИТИШВИЛИ;TSKITISHVILI
ЦХАДАДЗЕ;TSKHADADZE
ЧАГЕЛИШВИЛИ;CHAGELISHVILI
ГРИГОРИЙ;GRIGOL
ЧАНТУРИЯ;CHANTURIA
ГРИГОРИЙ;GRIGORY
ЧЕЛИДЗЕ;CHELIDZE
БОРИС;BORIS
ЧИТАЯ;CHITAYA
ЧИХРАДЗЕ;CHIKHRADZE
ЧИЧВЕЙШВИЛИ;CHICHVEISHVILI
ЧКУАСЕЛИ;CHKUASELI
ЧУМБУРИДЗЕ;CHUMBURIDZE
ГИЯ;GIA
ЧХАИДЗЕ;CHKHAIDZE
ГЕЛА;GELA
ШЕКИЛАДЗЕ;SHEKILADZE
МУРТАЗИ;MURTAZ
ШЕЛИЯ;SHELIA
АЛЕКСАНДР;ALEKSANDRE
ШЕНГЕЛИЯ;SHENGELIA
ЗААЛ;ZAALI
ЭЛИАВА;ELIAVA
ЭЛОШВИЛИ;ELOSHVILI
