ru_name;en_name
ИРАКЛИЙ;IRAKLI
АБАШИДЗЕ;ABASHIDZE
ТЕНГИЗ;TENGIZ
АБУЛАДЗЕ;ABULADZE
ДМИТРИЙ;DMITRY
АЛЕКСИДЗЕ;ALEKSIDZE
ЭЛГУДЖА;ELGUJA
АМАШУКЕЛИ;AMASHUKELI
АМИРЭДЖИБИ;AMIREJIBI
ЧАБУА;CHABUA
ВЕРИКО;VERIKO
АНДЖАПАРИДЗЕ;ANJAPARIDZE
ЕЛЕНА;ELENE
АХВЛЕДИАНИ;AKHVLEDIANI
ЛОМЕР;LOMER
АНДРЕЙ;ANDRIA
БАЛАНЧИВАДЗЕ;BALANCHIVADZE
МЕРАБ;MERAB
БЕРДЗЕНИШВИЛИ;BERDZENISHVILI
НАНИ;NANI
БРЕГВАДЗЕ;BREGVADZE
АКАКИЙ;AKAKI
ВАСАДЗЕ;VASADZE
ЭЛИСО;ELISO
ВИРСАЛАДЗЕ;VIRSALADZE
КОНСТАНТИН;KONSTANTINE
ГАМСАХУРДИЯ;GAMSAKHURDIA
МИРЗА;MIRZA
ГЕЛОВАНИ;GELOVANI
ВАСИЛИЙ;VASO
ГОДЗИАШВИЛИ;GODZIASHVILI
ЛАДО;LADO
ГУДИАШВИЛИ;GUDIASHVILI
УЧА;UCHA
ДЖАПАРИДЗЕ;JAPARIDZE
ГЕОРГИЙ;GIORGI
ДЖИБЛАДЗЕ;JIBLADZE
НОДАР;NODAR
ДУМБАДЗЕ;DUMBADZE
СЕРГО;SERGO
ЗАКАРИАДЗЕ;ZAKARIADZE
ЛИАНА;LIANA
ИСАКАДЗЕ;ISAKADZE
ШОТА;SHOTA
КАВЛАШВИЛИ;KAVLASHVILI
ГИЯ;GIA
КАНЧЕЛИ;KANCHELI
ДЖАНСУГ;JANSUG
КАХИДЗЕ;KAKHIDZE
БИДЗИНА;BIDZINA
КВЕРНАДЗЕ;KVERNADZE
СЕРГЕЙ;SERGO
КОБУЛАДЗЕ;KOBULADZE
КОКОЧАШВИЛИ;KOKOCHASHVILI
ГУРАМ;GURAM
КУТАТЕЛАДЗЕ;KUTATELADZE
ГРИГОРИЙ;GIGA
ЛОРДКИПАНИДЗЕ;LORTKIPANIDZE
АЛЕКСЕЙ;ALEKSANDRE
МАЧАВАРИАНИ;MACHAVARIANI
МУХРАН;MUKHRAN
ОТАР;OTAR
МЕГВИНЕТУХУЦЕСИ;MEGVINETUKHUTSESI
МАКВАЛА;MAKVALA
МРЕВЛИШВИЛИ;MREVLISHVILI
СУЛХАН;SULCHAN
НАСИДЗЕ;NASIDZE
НИШНИАНИДЗЕ;NISHNIANIDZE
ОЧИАУРИ;OCHIAURI
ПАНДЖИКИДЗЕ;PANJIKIDZE
ПАТАРАЯ;PATARAIA
НИНА;NINO
РАМИШВИЛИ;RAMISHVILI
САГАРАДЗЕ;SAGARADZE
ЗУРАБ;ZURAB
СОТКИЛАВА;SOTKILAVA
РОБЕРТ;ROBERT
СТУРУА;STURUA
ИЛЬЯ;ILIKO
СУХИШВИЛИ;SUKHISHVILI
РЕВАЗ;REVAZ
ТАБУКАШВИЛИ;TABUKASHVILI
СЕСИЛЬ;SESILIA
ТАКАИШВИЛИ;TAKAISHVILI
ТАКТАКИШВИЛИ;TAKTAKISHVILI
ЦИСАНА;TSISANA
ТАТИШВИЛИ;TATISHVILI
ФРИДОН;PRIDON
ХАЛВАШИ;KHALVASHI
БЕСИК;BESIK
ХАРАНАУЛИ;KHARANAULI
ВАХТАНГ;VAKHTANG
ЦИНЦАДЗЕ;TSINTSADZE
СУЛХАН;SULKHAN
ДЖАНСУГ;JANSUGH
ЧАРКВИАНИ;CHARKVIANI
ЧИЛАДЗЕ;CHILADZE
ТАМАЗ;TAMAZ
РАМАЗ;RAMAZ
ЧХИКВАДЗЕ;CHKHIKVADZE
ЭЛЬДАР;ELDAR
ШЕНГЕЛАЯ;SHENGELAYA
АНЗОР;ANZOR
ЭРКОМАИШВИЛИ;ERKOMAISHVILI
