ru_name;en_name
ВАСИЛИЙ;VASILY
АБАЕВ;ABAEV
ВИКТОР;VICTOR
АМБАРЦУМЯН;AMBARTSUMIAN
ШАЛВА;SHALVA
АМИРАНАШВИЛИ;AMIRANASHVILI
ВЛАДИМИР;VLADIMER
АСАТИАНИ;ASATIANI
НИКОЛАЙ;NIKOLOZ
БЕРДЗЕНИШВИЛИ;BERDZENISHVILI
АНДРЕЙ;ANDREI
БИЦАДЗЕ;BITSADZE
МИХАИЛ;MIKHEIL
БОКУЧАВА;BOKUCHAVA
ИЛЬЯ;ILIA
ВЕКУА;VEKUA
НИКОЛАЙ;NIKOLAI
ГЕОРГИЙ;GIORGI
ГЕХТМАН;GECHTMAN
ФИЛИПП;FILIPE
ГОГИЧАИШВИЛИ;GOGICHAISHVILI
ПААТА;PAATA
ГУГУШВИЛИ;GUGUSHVILI
РАФАЭЛ;RAFIEL
ДВАЛИ;DVALI
ТАМАРА;TAMAR
ДЕКАНОСИДЗЕ;DEKANOSIDZE
АЛЕКСАНДР;ALEXANDER
ДЖАВАХИШВИЛИ;JAVAKHISHVILI
АЛЕКСАНДР;ALEKSANDRE
ДЖАНЕЛИДЗЕ;JANELIDZE
ЛЕВАН;LEVAN
ДЖАПАРИДЗЕ;JAFARIDZE
ЖГЕНТИ;ZHGHENTI
ФИЛИПП;PHILIPP
ЗАЙЦЕВ;ZAITZEV
АВЛИПИЙ;AVLIPI
ЗУРАБАШВИЛИ;ZURABASHVILI
ТИНАТИН;TINATIN
КАУХЧИШВИЛИ;KAUKHCHISHVILI
ИВАН;IVANE
КАЧАРАВА;KACHARAVA
ЛЮБОВЬ;LIUBOV
КЕМУЛАРИА-НАТАДЗЕ;KEMULARIA-NATHADZE
НИКОЛАЙ;NIKO
КЕЦХОВЕЛИ;KETSKHOVELI
БОРИС;BORIS
ЛАПИН;LAPIN
ГЕОРГИЙ;GEORGY
ЛОМИДЗЕ;LOMIDZE
АЛЕКСАНДР;ALEKSANDR
МАГОМЕТОВ;MAGOMETOV
МАРУАШВИЛИ;MARUASHVILI
ЕЛЕНА;HELENE
МЕТРЕВЕЛИ;METREVELI
МАТЭ;MATE
МИРИАНАШВИЛИ;MIRIANASHVILI
ВАХТАНГ;VAKHTANG
МОСИДЗЕ;MOSIDZE
ГРИГОРИЙ;GRIGOL
МУХАДЗЕ;MUKHADZE
РАДИАНИ;RADIANI
ГИВИ;GIVI
СВАНИДЗЕ;SVANADZE
ДМИТРИЙ;DMITRII
СОСНОВСКИЙ;SOSNOWSKY
ИЛЛАРИОН;ILARION
ТАЛАХАДЗЕ;TALAKHADZE
ДАВИД;DAVID
УКЛЕБА;UKLEBA
НЕРСЕС;NERSES
УМИКОВ;UMIKOV
ВИКТОР;VIKTOR
ФАНАРДЖЯН;FANARDJYAN
ЕВГЕНИЙ;EVGENI
ХАРАДЗЕ;KHARADZE
ЦЕРЕТЕЛИ;TSERETELI
АРНОЛЬД;ARNOLD
ЧИКОБАВА;CHIKOBAVA
