ru_name;en_name
ОТАР;OTAR
АБЕСАДЗЕ;ABESADZE
ВЯЧЕСЛАВ;VYACHESLAV
АБЛОТИА;ABLOTIA
ТЕНГИЗ;TENGIZ
АБУЛАДЗЕ;ABULADZE
АННА;ANNA
АНТОНОВСКАЯ;ANTONOVSKA
ЗАИРА;ZAIRA
АРСЕНИШВИЛИ;ARSENISHVILI
ГЕОРГИЙ;GEORGI
АСАТИАНИ;ASSATIJANI
ЭРЛОМ;ERLOM
АХВЛЕДИАНИ;AKHVLEDIANI
ТЕЙМУРАЗ;TEMUR
БАБЛУАНИ;BABLUANI
ВЛАДИМИР;VLADIMIR
БАРСКИЙ;BARSKY
ВАХТАНГ;VAKHTANG
БАХТАДЗЕ;BAKHTADZE
АМО;HAMO
БЕК-НАЗАРОВ;BEKNAZARIAN
ВАНО;VANO
БУРДУЛИ;BURDULI
РЕЗО;REVAZ
ГАБРИАДЗЕ;GABRIADZE
ОМАРИ;OMARI
ГВАСАЛИЯ;GVASALIA
ГУРАМ;GURAM
ГЕГЕШИДЗЕ;GEGESHIDZE
РАМАЗ;RAMAZ
ГИОРГОБИАНИ;GIORGOBIANI
ЛАНА;LANA
ГОГОБЕРИДЗЕ;GOGOBERIDZE
КАРЛО;KARLO
ГОГОДЗЕ;GOGODZE
ТАМАЗ;TAMAZ
ГОМЕЛАУРИ;GOMELAURI
ГОШАДЗЕ;GOSHADZE
ПЁТР;PETRE
ГРУЗИНСКИЙ;GRUZINSKY
ГЕОРГИЙ;GEORGIY
ДАНЕЛИЯ;DANELIYA
ДАТО;DATO
ДЖАНЕЛИДЗЕ;JANELIDZE
НАНА;NANA
ДЖОРДЖАДЗЕ;JORJADZE
СЕМЁН;SIKO
ДОЛИДЗЕ;DOLIDZE
НОДАР;NODAR
ДУМБАДЗЕ;DUMBADZE
СУЛИКО;SULIKO
ЖГЕНТИ;JGENTI
ЛЕВАН;LEVAN
ЗАКАРЕЙШВИЛИ;ZAKAREISHVILI
РЕВАЗ;REVAZ
ИНАНИШВИЛИ;INANISHVILI
ИОСЕЛИАНИ;IOSSELIANI
ОТИА;OTIA
ИОСЕЛИАНИ;IOSELIANI
ГЕОРГИЙ;GOGI
КАВТАРАДЗЕ;KAVTARADZE
ЮРИЙ;YURI
ГЕОРГИЙ;GEORGY
КАЛАТОЗИШВИЛИ;KALATOZISHVILI
МИХАИЛ;MIKHEIL
МИХАИЛ;MIKHAIL
КАЛАТОЗОВ;KALATOZOV
ГЕЛА;GELA
КАНДЕЛАКИ;KANDELAKI
АРТЁМ;ARTYOM
КАРАПЕТЯН;KARAPETYAN
ИРАКЛИЙ;IRAKLI
КВИРИКАДЗЕ;KVIRIKADZE
КИКАБИДЗЕ;KIKABIDZE
ЭДИШЕР;EDISHER
КИПИАНИ;KIPIANI
КОБАХИДЗЕ;KOBAKHIDZE
КОБЕРИДЗЕ;KOBERIDZE
КОГУАШВИЛИ;KOGUASHVILI
МЕРАБ;MERAB
КОКОЧАШВИЛИ;KOKOCHASHVILI
ДЕА;DEA
КУЛУМБЕГАШВИЛИ;KULUMBEGASHVILI
ЛЕВАШОВ-ТУМАНОВ;LEVASHOV-TUMANOV
МАНАГАДЗЕ;MANAGADZE
КОНСТАНТИН;KOTE
МАРДЖАНИШВИЛИ;MARJANISHVILI
ГЕОРГИЙ;GIORGI
МАТАРАДЗЕ;MATARADZE
КАРАМАН;KARAMAN
МГЕЛАДЗЕ;MGELADZE
МДИВАНИ;MDIVANI
МЕЛИАВА;MELIAVA
МИКАБЕРИДЗЕ;MIKABERIDZE
МЧЕДЛИДЗЕ;MCHEDLIDZE
НИНЕЛЬ;NELI
НЕНОВА;NENOVA
ОВАШВИЛИ;OVASHVILI
СЕРГЕЙ;SERGEI
ПАРАДЖАНОВ;PARAJANOV
ПАТАРАЯ;PATARAIA
КОНСТАНТИН;KONSTANTINE
ПИПИНАШВИЛИ;PIPINASHVILI
