ru_name;en_name
ВИКТОР;VIKTOR
АБАЕВ;ABAYEV
ТАМАРА;TAMAR
АБАКЕЛИЯ;ABAKELIA
ЛАДО;LADO
АВАЛИАНИ;AVALIANI
ЮРИЙ;YURY
АВАЛИШВИЛИ;AVALISHVILI
АМИРАН;AMIRAN
АДЛЕЙБА;ADLEYBA
АГАСИ;AGHASI
АЙВАЗЯН;AYVAZYAN
ЭЛГУДЖА;ELGUJA
АМАШУКЕЛИ;AMASHUKELI
ЕЛЕНА;ELENE
АХВЛЕДИАНИ;AKHVLEDIANI
ГЕОРГИЙ;GIORGI
БАТИАШВИЛИ;BATIASHVILI
ВАХТАНГ;VAKHTANG
БАХТАДЗЕ;BAKHTADZE
АМАЯК;HMAYAK
БДЕЯН;BDEYAN
МЕРАБ;MERAB
БЕРДЗЕНИШВИЛИ;BERDZENISHVILI
ПЁТР;PYOTR
БЛЕТКИН;BLETKIN
ГЕОРГИЙ;GIA
БУГАДЗЕ;BUGADZE
СИМОН;SIMON
ВИРСАЛАДЗЕ;VIRSALADZE
ТИНАТИН;TINATIN
АЛЬБЕРТ;ALBERT
ГОГУАДЗЕ;GOGUADZE
ГИЯ;GIA
ГУГУШВИЛИ;GUGUSHVILI
УЧА;UCHA
ДЖАПАРИДЗЕ;JAPARIDZE
НАНА;NANA
ДЖОРДЖАДЗЕ;JORJADZE
ГУРАМ;GURAM
ДОЛЕНДЖАШВИЛИ;DOLENJASHVILI
ЛЕОНИД;LEONID
ЕНИК;ENIK
РУБЕН;RUBEN
ЗАХАРЬЯН;ZAKHARIAN
ЭДУАРД;EDUARD
ИСАБЕКЯН;ISABEKYAN
ЮРИЙ;YURI
КАВТАРАДЗЕ;KAVTARADZE
СИЛОВАН;SILOVAN
КАКАБАДЗЕ;KAKABADZE
КЕТЕВАН;KETEVAN
КАЛАНДАДЗЕ;KALANDADZE
МКРТЫЧ;MKRTICH
КАМАЛЯН;KAMALYAN
ГИВИ;GIVI
КАНДАРЕЛИ;KANDARELI
ДЖАЛАЛ;JALAL
КАРЪЯГДЫ;GARYAGHDI
ВИТАЛИЙ;VITALIY
КАЦБА;KATSBA
СЕРГЕЙ;SERGO
КОБУЛАДЗЕ;KOBULADZE
РОБЕРТ;ROBERT
КОНДАХСАЗОВ;KONDAKHSAZOV
КОТЕТИШВИЛИ;KOTETISHVILI
ИОСИФ;SOSO
КОЯВА;KOIAVA
АПОЛЛОН;APOLLON
КУТАТЕЛАДЗЕ;KUTATELADZE
НУГЗАР;NUGZAR
ЛОГУА;LOGUA
ЛЕВАН;LEVAN
МАРГИАНИ;MARGIANI
КОНСТАНТИН;KONSTANTIN
МЕРАБИШВИЛИ;MERABISJVILI
МЕСХИДЗЕ;MESKHIDZE
ВАЖА;MIKABERIDZE
МИКАБЕРИДЗЕ;VAJA
ТЕРЕЗА;TERESA
МИРЗОЯН;MIRZOYAN
ТЕЙМУРАЗ;MURAZ
МУРВАНИДЗЕ;MURVANIDZE
АРПЕНИК;ARPENIK
НАЛБАНДЯН;NALBANDYAN
ДМИТРИЙ;DMITRY
ВИДАДИ;VIDADI
НАРИМАНБЕКОВ;NARIMANBEKOV
ДИНАРА;DINARA
НОДИА;NODIA
ПЁТР;PETRE
ОЦХЕЛИ;OTSKHELI
ИРАКЛИЙ;IRAKLI
ОЧИАУРИ;OCHIAURI
РУСУДАН;RUSUDAN
ПЕТВИАШВИЛИ;PETVIASHVILI
СТЕПАН;STEPAN
САТУНЦ;SATUNC
ОЛЬГА;OLGA
САХАРОВА;SACHAROFF
ИГОРЬ;IGOR
СЕМЕНИХИН;SEMENIKHIN
АЛЕКСАНДР;ALEKSANDR
СЕМЕНЦОВ;SEMENTSOV
РИПСИМЕ;HRIPSIME
СИМОНЯН;SIMONYAN
COНГУЛАШВИЛИ;SONGULASHVILI
ИОСИФ;IOSIF
СУМБАТАШВИЛИ;SUMBATASHVILI
ТОИДЗЕ;TOIDZE
БАДРИ;BADRI
ТОПУРИЯ;TOPURIYA
ГЕОРГИЙ;GOGI
ТОТИБАДЗЕ;TOTIBADZE
ХАДЖАЕВ;HAJAEV
ВАЛЕНТИНА;VALENTINA
ХУРХУМАЛ;HURHUMAL
ЗУРАБ;ZURAB
ЦЕРЕТЕЛИ;TSERETELI
ЗВИАД;ZVIAD
ЦИКОЛИЯ;TSIKOLIA
ШАДИМАН;SHADIMAN
ЧАВЧАВАДЗЕ;CHAVCHAVADZE
МИХАИЛ;MIKHEIL
ЧИАУРЕЛИ;CHIAURELI
ЮРИЙ;JURY
ЧКАДУА;CHKADUA
ЧХАИДЗЕ;CHKHAIDZE
РЕНЕ;RENE
ШМЕРЛИНГ;SHMERLING
ШХВАЦАБАЯ;SHKHVATSABAYA
ЭЛЛИ;ELLI
ЮРЬЕВ;JUREV
