ru_name;en_name
ГАЛАКТИОН;GALAKTION
АЛПАИДЗЕ;ALPAIDZE
АЛЕКСАНДР;ALEXANDR
АМОСЕНКОВ;AMOSENKOV
ГРИГОРИЙ;GRIGORY
АНДРЮЩЕНКО;ANDRYUSHCHENKO
РАФАЭЛЬ;RAFAEL
АСАДОВ;ASADOV
ЭНВЕР;ENVER
АХСАРОВ;AKHSAROV
АМАЗАСП;HAMAZASP
БАБАДЖАНЯН;BABADZHANIAN
НАТАЛИЯ;NATALIYA
БЕЛОВА;BELOVA
СПИРИДОН;SPIRIDON
БЕЛЫЙ;BELY
БОРИС;BORIS
ВЛАДИМИРОВ;VLADIMIROV
МАГОМЕД;MAGOMED
ГАМЗАТОВ;GAMZATOV
АНДРЕЙ;ANDREY
ГОРБУНОВ;GORBUNOV
ЕГОР;YEGOR
ГРИШУНОВ;GRISHUNOV
ВЛАДИМИР;VLADIMIR
ДЖАНДЖГАВА;JANJGAVA
МУРМАН;MURMAN
ДЖАПАРИДЗЕ;DZHAPARIDZE
ИВАН;IVAN
ЛЕБЕДЕНКО;LEBEDENKO
ВИКТОР;VIKTOR
ЛЕСЕЛИДЗЕ;LESELIDZE
ДЖАЛИЛ;CATEGORY:JALIL
НАДЖАБОВ;NAJABOV
СЕРГЕЙ;SERGEY
ОГАНОВ;OGANOV
ПЕТРЕНКО;PETRENKO
РАСПОПОВ;RASPOPOV
КАРАПЕТ;KARAPET
СИМОНЯН;SIMONYAN
ХАРАЗИЯ;KHARAZIYA
ВАСИЛИЙ;VASILY
ШАТИЛОВ;SHATILOV
ДЕНИС;DENIS
ШЕЛЕСТ;SHELEST
