ru_name;en_name
ШАЛВА;SHALVA
АЗМАЙПАРАШВИЛИ;AZMAIPARASHVILI
АРТЕМИЙ;ARTEMI
АЙВАЗЯН;AYVAZYAN
МЕДЕЯ;MEDEA
АМИРАНАШВИЛИ;AMIRANASHVILI
ПЁТР;PETR
ДАВИД;DAVID
АНДГУЛАДЗЕ;ANDGULADZE
ЗУРАБ;ZURAB
АНДЖАПАРИДЗЕ;ANDJAPARIDZE
РОБЕРТ;ROBERT
АНДРИАСЯН;ANDRIASYAN
АНДРЕЙ;ANDRIA
БАЛАНЧИВАДЗЕ;BALANCHIVADZE
ИОСИФ;JOSEF
БАРДАНАШВИЛИ;BARDANASHVILI
ЮРИЙ;YOURY
БИЛЬСТИН;BILSTIN
НАНИ;NANI
БРЕГВАДЗЕ;BREGVADZE
ПААТА;PAATA
БУРЧУЛАДЗЕ;BURCHULADZE
ЭЛИСО;ELISO
ВИРСАЛАДЗЕ;VIRSALADZE
ВСЕВОЛОД;VSEVOLOD
ВОРОБЬЁВ;VOROBIOV
НОДАР;NODAR
ГАБУНИЯ;GABUNIA
ГРИГОРИЙ;GRIGORI
ГАМБУРГ;GAMBURG
ГАМРЕКЕЛИ;GAMREKELI
РАЯ;RAYA
ГАРБУЗОВА;GARBOUSOVA
ТАМАРА;TAMARA
ГВЕРДЦИТЕЛИ;GVERDTSITELI
ГОРГАДЗЕ;GORGADZE
ЛЕВ;LEV
ДЖЕРГЕНИЯ;JERGENIA
ОДИССЕЙ;ODYSSEAS
ДИМИТРИАДИ;DIMITRIADIS
КАРО;KARO
ЗАКАРЯН;ZAKARIAN
АЛЕКСАНДР;ALEKSANDR
ИНАШВИЛИ;INASHVILI
ЛИКА;LIKA
КАВЖАРАДЗЕ;KAVZHARADZE
ВЛАДИМИР;VLADIMIR
КАНДЕЛАКИ;KANDELAKI
ГИЯ;GIA
КАНЧЕЛИ;KANCHELI
МАКВАЛА;MAKVALA
КАСРАШВИЛИ;KASRASHVILI
ДЖАНСУГ;JANSUG
КАХИДЗЕ;KAKHIDZE
БИДЗИНА;BIDZINA
КВЕРНАДЗЕ;KVERNADZE
ИОСИФ;IOSEB
КЕЧАКМАДЗЕ;KECHAKMADZE
ГРИГОРИЙ;GRIGOL
КИЛАДЗЕ;KILADZE
АЛЕКСАНДР;ALEXANDER
КОРСАНТИЯ;KORSANTIA
РЕВАЗ;REVAZ
ЛАГИДЗЕ;LAGIDZE
ГЕОРГИЙ;GIORGI
ЛАЦАБИДЗЕ;LATSABIDZE
АЛЕКСЕЙ;ALEKSANDRE
МАЧАВАРИАНИ;MACHAVARIANI
НИНО;NINO
МАЧАИДЗЕ;MACHAIDZE
ВАНО;VANO
МУРАДЕЛИ;MURADELI
МШВЕЛИДЗЕ;MSHVELIDZE
СУЛХАН;SULCHAN
НАСИДЗЕ;NASIDZE
НАР;NAR
ОВАНИСЯН;OVANISYAN
ЕВГЕНИЙ;EVGENIY
ПОЙМАНОВ;POYMANOV
САМУИЛ;SAMUIL
САМОСУД;SAMOSUD
СОТКИЛАВА;SOTKILAVA
ЕКАТЕРИНА;EKATERINA
СОХАДЗЕ;SOCHADZE
ОТАР;OTAR
ТАКТАКИШВИЛИ;TAKTAKISHVILI
ВАРДКЕС;VARDGES
ТАЛЬЯН;TALYAN
МИКАЭЛ;MIKAEL
ТАРИВЕРДИЕВ;TARIVERDIEV
ЦИСАНА;TSISANA
ТАТИШВИЛИ;TATISHVILI
МИНДИЯ;MINDIA
ХИТАРИШВИЛИ;KHITARISHVILI
ЯКОВ;YAKIV
ЦЕГЛЯР;TSEHLYAR
ЕВГЕНИЯ;EVGENIYA
ЦЕЛОВАЛЬНИК;TSELOVALNIK
ГЕРЦ;GERTS
ЦОМЫК;TSOMYK
ВАЖА;VAZHA
ЧАЧАВА;CHACHAVA
ЛАМАРА;LAMARA
ЧКОНИЯ;CHKONIA
АЛЕКСАНДР;ALEKSANDRE
ШАВЕРЗАШВИЛИ;SHAVERZASHVILI
ИРАКЛИЙ;IRAKLY
ШУШАНИЯ;SHUSHANIA
