ru_name;en_name
ГРИГОЛ;GRIGOL
АБАШИДЗЕ;ABASHIDZE
ИРАКЛИЙ;IRAKLI
НИНО;NINO
АБЕСАДЗЕ;ABESADZE
НИЯ;NIYA
РАМАЗ;RAMAZ
ГЕОРГИЙ;GIORGI
АБЗИАНИДЗЕ;ABZIANIDZE
БОРИС;BORIS
АГАПОВ;AGAPOV
АЛИО;ALIO
АДАМИА;ADAMIA
ЗУРАБ;ZURAB
АДЕИШВИЛИ;ADEISHVILI
ГУРАМ;GURAM
АДЖОЕВ;ADZHOYEV
ГИУЛИ;GIULI
АЛАСАНИЯ;ALASANIA
ЛЕВАН;LEVAN
АЛЕКСИДЗЕ;ALEKSIDZE
АЛЕКСИЙ;LEKSO
АЛЕКСИШВИЛИ;ALEKSISHVILI
ГИВИ;GIVI
АЛХАЗИШВИЛИ;ALKHAZISHVILI
НОДАР;NODAR
АМАГЛОБЕЛИ;AMAGHLOBELI
СЕРГЕЙ;SERGO
АМАГЛОБЕЛИ;AMAGLOBELI
ШАЛВА;SHALVA
АМИРАНАШВИЛИ;AMIRANASHVILI
АМОНАШВИЛИ;AMONASHVILI
МЕРИ;MERI
АНДЖАПАРИДЗЕ;ANJAPARIDZE
МАНАНА;MANANA
АНТАДЗЕ;ANTADZE
АНЧАБАДЗЕ;ANCHABADZE
АНДРИЯ;ANDRIA
АПАКИДЗЕ;APAKIDZE
АРСЕНИШВИЛИ;ARSENISHVILI
ЗАИРА;ZAIRA
АКАКИЙ;AKAKI
АСАТИАНИ;ASATIANI
АСАТИАНИ;ASAT`IANI
ТИНА;TINATIN
АЛЕКСАНДР;ALEKSANDRE
АСЛАНИКАШВИЛИ;ASLANIKASHVILI
ЭРЛОМ;ERLOM
АХВЛЕДИАНИ;AKHVLEDIANI
ГЕРЦЕЛЬ;GERZEL
БААЗОВ;BAAZOV
АННА;ANA
БАГРАТИОН-ГРУЗИНСКАЯ;BAGRATION-GRUZINSKY
ВАХТАНГ;VAKHTANG
БАЛАВАДЗЕ;BALAVADZE
МАРИЯ;MARIKA
БАРАТАШВИЛИ;BARATASHVILI
БАТИАШВИЛИ;BATIASHVILI
МАМУКА;MAMUKA
БАХТАДЗЕ;BAKHTADZE
ГЕРАЛЬД;GERALD
БЕЖАНОВ;BEZHANOV
АЛЕКС;ALEX
БЕККЕР;BEKKER
ДМИТРИЙ;DMITRIY
БЕНАШВИЛИ;BENASJVILI
КАХА;KAKHA
БЕНДУКИДЗЕ;BENDUKIDZE
НИКОЛАЙ;NIKOLOZ
БЕРДЗЕНИШВИЛИ;BERDZENISHVILI
БЕРИШВИЛИ;BERISHVILI
АЛЕКСАНДР;ALEXANDER
БЕРУЛАВА;BERULAVA
ТАМАРА;TAMAR
БЕРУЧАШВИЛИ;BERUCHASHVILI
НИКО;NIKOLOZ
БЕРУАШВИЛИ;BERUCHASHVILI
АНДРЕЙ;ANDREI
БИЦАДЗЕ;BITSADZE
БАДРИ;BADRI
МИХАИЛ;MIKHEIL
БОКУЧАВА;BOKUCHAVA
БАЧАНА;BACHANA
БРЕГВАДЗЕ;BREGVADZE
КИТА;KITA
БУАЧИДЗЕ;BUCHAIDZE
БУРДЖАНАДЗЕ;BURJANADZE
БУЦХРИКИДЗЕ;BUTSKHRIKIDZE
РОМ;ROM
ВАРШАМОВ;WARSCHAMOW
ВАШАКИДЗЕ;VASHAKIDZE
АБЕСАЛОМ;ABESALOM
ВЕКУА;VEKUA
ИЛЬЯ;ILIA
НИКОЛАЙ;NIKOLAI
ТИНАТИН;TINATIN
ВИРСАЛАДЗЕ;VIRSALADZE
МАРКО;MARK
ВИШИК;VISHIK
ГИЯ;GIA
ВОЛЬСКИЙ;VOLSKI
КОНСТАНТИН;KONSTANTINE
ГАБАШВИЛИ;GABASHVILI
НУГЗАР;NUGZAR
ГАБРИЧИДЗЕ;GABRICHIDZE
ТАМАЗ;TAMAZ
ГАМКРЕЛИДЗЕ;GAMKRELIDZE
ЗВИАД;ZVIAD
ГАМСАХУРДИЯ;GAMSAKHURDIA
ГАРИБАШВИЛИ;GHARIBASHVILI
ГАХАРИЯ;GAKHARIA
ГАЧЕЧИЛАДЗЕ;GACHECHILADZE
ГУРАНДА;GURANDA
ГВАЛАДЗЕ;GVALADZE
КОБА;KOBA
ГВЕНЕТАДЗЕ;GVENETADZE
ГВЕРДЦИТЕЛИ;GVERDTSITELI
АРЧИЛ;ARCHIL
ГЕГЕШИДЗЕ;GEGESHIDZE
НИКОЛОЗ;NIKA
ГИЛАУРИ;GILAURI
ДЖАМШИД;JAMSHID
ГИУНАШВИЛИ;GIUNASHVILI
ТЕЙМУРАЗ;TEIMURAZ
ГЛОНТИ;GLONTI
ЗАЗА;ZAZA
ГОГАВА;GOGAVA
ЛАНА;LANA
ГОГОБЕРИДЗЕ;GOGOBERIDZE
ГОКИЕЛИ;GOKIELIE
ИГОРЬ;IGOR
ГОЛЕМБИОВСКИЙ;GOLEMBIOVSKY
АЛЕКСЕЙ;ALEXEY
ГОРГИДЗЕ;GORGIDZE
РИСМАГ;RIZMAG
ГОРДЕЗИАНИ;GORDEZIANI
РОМАН;ROMAN
ГОЦИРИДЗЕ;GOTSIRIDZE
ПЁТР;PETRE
ГРУЗИНСКИЙ;GRUZINSKY
ГУГЕНИШВИЛИ;GUGENISHVILI
ПААТА;PAATA
ГУГУШВИЛИ;GUGUSHVILI
ТОГО;TOGO
ГУДАВА;GUDAVA
ГУДЖЕДЖИАНИ;GUJEJIANI
