ru_name;en_name
АБЕЛИШВИЛИ;LEVAN
ГРИГОРЬЕВИЧ;ABELISHVILI
МАМИЯ;MAMIA
АЛАСАНИЯ;ALASANIA
ВЛАДИМИР;VLADIMIR
АЛЕКСИ-МЕСХИШВИЛИ;ALEKSI-MESKHISHVILI
МЕРИ;MERI
АРАБИДЗЕ;ARABIDZE
ДАВИД;DAVID
БАКРАДЗЕ;BAKRADZE
ГЕОРГИЙ;GIORGI
БАРАМИДЗЕ;BARAMIDZE
ЗАХАР;ZAKAR
БАШИНДЖАГЯН;BASHINJAGHYAN
ВАСИКО;VASIKO
БЕДОШВИЛИ;BEDOSHVILI
РАФАЭЛ;RAFIEL
ДВАЛИ;DVALI
ГИВИ;GIVI
ДЖАВАХИШВИЛИ;JAVAKHISHVILI
АЛЕКСАНДР;ALEXANDER
ДЖАПАРИДЗЕ;JAPARIDZE
ДОНАТ;DONAT
ДОЛГУШИН;DOLGUSHIN
ШОТА;SHOTA
КАВЛАШВИЛИ;KAVLASHVILI
ДМИТРИЙ;DIMITRI
КАРТВЕЛИШВИЛИ;KARTVELISHVILI
ГЕОРГИЙ;GEORGIY
КАРЦИВАДЗЕ;KARTSIVADZE
РАМАЗ;RAMAZ
КАЦАРАВА;KACARAVA
ПААТА;PAATA
КЕРВАЛИШВИЛИ;KERVALISHVILI
АРЧИЛ;ARCHIL
КИКНАДЗЕ;KIKNADZE
АЛЬФРЕД;ALFRED
КОЛАКОВСКИЙ;KOLAKOVSKI
МИХАИЛ;MIKHAIL
КОРКИЯ;KORKIA
КУРДИАНИ;KURDIANI
ЛАКЕРБАЙ;LAKERBAY
НИКОЛАЙ;NIKOLOS
ЛАНДИЯ;LANDIA
НИКОЛОЗ;NIKOLOZ
ЛЕКИШВИЛИ;LEKISHVILI
ЛОМАЯ;LOMAIA
РУСУДАН;RUSUDAN
ЛОРДКИПАНИДЗЕ;LORDKIPANIDZE
АЛЕКСАНДР;ALEKSANDR
МАГОМЕТОВ;MAGOMETOV
ЭЛГУДЖА;ELGUJA
МЕДЗМАРИАШВИЛИ;MEDZMARIASHVILI
МЕЛИЯ;MELIYA
ИВАНЕ;VANO
МЕРАБИШВИЛИ;MERABISHVILI
ГУРАМ;GURAM
МИНАШВИЛИ;MINASHVILI
ВИКТОР;VIKTOR
МИХАЙЛОВ;MIKHAILOV
КОНСТАНТИН;KONSTANTIN
АЛЕКСАНДР;ALEKSANDRE
МОЦЕРЕЛИЯ;MOTSERELIA
НАДИРАДЗЕ;NADIRADZE
НИКОЛАИШВИЛИ;NIKOLAISHVILI
ЗУРАБ;ZURAB
ПАТАРИДЗЕ;PATARADZE
БАДРИ;BADRI
ПАТАРКАЦИШВИЛИ;PATARKATSISHVILI
ИВЕРИ;IVERI
ПРАНГИШВИЛИ;PRANGISHVILI
АШОТ;ASHOT
РУХКЯН;RUKHKYAN
САКАНДЕЛИДЗЕ;SAKANDELIDZE
СВАНИДЗЕ;SVANADZE
ТЕНГИЗ;TENGIZ
СИГУА;SIGUA
ДАВИД;DAVIT
ТАРХАН-МОУРАВИ;TARKHAN-MOURAVI
ГЕОРГИЙ;GOGA
ХАИНДРАВА;KHAINDRAVA
ХЕТАГУРИ;KHETAGURI
ГЕОРГИ;GEORGE
ЧАКХАВА;CHAKHAVA
ЧХЕИДЗЕ;CHKHEIDZE
ШЕВЧЕНКО;SHEVCHENKO
ДЕМНА;DEMNA
ШЕНГЕЛАЯ;SHENGELAIA
ОМАР;OMAR
ЭГАДЗЕ;EGADZE
ПАВЕЛ;PAVEL
ЯКОВЛЕВ;YAKOVLEV
