ru_name;en_name
АСХАБ;ASKHAB
АБАКАРОВ;ABAKAROV
ДАВИД;DODO
АБАШИДЗЕ;ABASHIDZE
ДЕВИ;DEVI
ЛЕВАН;LEVAN
ЛЕЙЛА;LEILA
ТЕНГИЗ;TENGIZ
АБУЛАДЗЕ;ABULADZE
АРЧВАДЗЕ;ARCHVADZE
ТЕЙМУРАЗ;TEMUR
БАБЛУАНИ;BABLUANI
БЕЛЛА;BELA
МИРИАНАШВИЛИ;MIRIANASHVILI
ЗЕЙНАБ;ZEINAB
БОЦВАДЗЕ;BOTSVADZE
ГУРАМ;GURAM
БРЕГАДЗЕ;BREGADZE
ГРИГОРИЙ;GRIGOL
БУХНИКАШВИЛИ;BUKHNIKASHVILI
ДЖУЛЬЕТТА;JULIETA
ВАШАКМАДЗЕ;VASHAKMADZE
СЕРГЕЙ;SERGEI
ГАБНИА;GABNIA
ГАБРИАДЗЕ;GABRIADZE
ГЕОРГИЙ;GOGI
ГЕГЕЧКОРИ;GEGECHKORI
ЕВГЕНИЙ;EVGENIY
ГИНЗБУРГ;GINZBURG
РАМАЗ;RAMAZ
ГИОРГОБИАНИ;GIORGOBIANI
ТАМАЗ;TAMAZ
ГОМЕЛАУРИ;GOMELAURI
МИХАИЛ;MIKHEIL
ГОМИАШВИЛИ;GOMIASHVILI
ГОШАДЗЕ;GOSHADZE
ДМИТРИЙ;DIMITRI
ДЖАИЯНИ;JAIANI
ДАТО;DATO
ДЖАНЕЛИДЗЕ;JANELIDZE
НАНА;NANA
КЕТИ;KETI
ДОЛИДЗЕ;DOLIDZE
АНДРО;ANDRO
ЕНУКИДЗЕ;ENUKIDZE
КАХИ;KAKHI
КАВСАДЗЕ;KAVSADZE
КАВТАРАДЗЕ;KAVTARADZE
ЗУРАБ;ZURAB
КАПИАНИДЗЕ;KAPIANIDZE
ИМЕДА;IMEDA
КАХИАНИ;KAKHIANI
МАМУКА;MAMUKA
КИКАЛЕЙШВИЛИ;KIKALEISHVILI
КИПШИДЗЕ;KIPSHIDZE
ЗАУР;ZAUR
КОВЕ;KOVE
ГЕГА;GEGA
КУРЦИКИДЗЕ;KURTSIKIDZE
ГЕОРГИЙ;GEORGY
ЛЕВАШОВ-ТУМАНОВ;LEVASHOV-TUMANOV
НОДАР;NODAR
МАНАГАДЗЕ;MANAGADZE
ЭРОСИ;EROSI
МАНДЖГАЛАДЗЕ;MANJGALADZE
АВТАНДИЛ;AVTANDIL
МАХАРАДЗЕ;MAKHARADZE
КОНСТАНТИН;KOTE
МГАЛОБЛИШВИЛИ;MGALOBLISHVILI
ОТАР;OTAR
МЕГВИНЕТУХУЦЕСИ;MEGVINETUKHUTSESI
ХАТУНА;KHATUNA
МИЛОРАВА;MILORAVA
МЧЕДЛИДЗЕ;MCHEDLIDZE
МЕРАБ;MERAB
НИНИДЗЕ;NINIDZE
ИЯ;IA
ПАРУЛАВА;PARULAVA
ПАТАРАЯ;PATARAIA
ПИРЦХАЛАВА;PIRTSKHALAVA
ЮРИЙ;YURY
САФАРОВ;SAFAROV
РОБЕРТ;ROBERT
СТУРУА;STURUA
КОТЕ;KOTE
СУРМАВА;SURMAVA
ТАВАДЗЕ;TAVADZE
ШУКУР;SHUKUR
ТЕБУЕВ;TEBUEV
ГИВИ;GIVI
ТОХАДЗЕ;TOKHADZE
ТУМАНИШВИЛИ;TUMANISHVILI
ТУТБЕРИДЗЕ;TUTBERIDZE
ГЕОРГИЙ;GOGA
ХАИНДРАВА;KHAINDRAVA
АЛЕКСАНДР;ALEKO
ЦАБАДЗЕ;TSABADZE
ДИТО;DITO
ЦИНЦАДЗЕ;TSINTSADZE
ГЕНО;GENO
ЦУЛАЯ;TSULAIA
МЕДЕЯ;MEDEA
ЧАХАВА;CHAKHAVA
ДОДО;DODO
ЧОГОВАДЗЕ;CHOGOVADZE
ГОДЕРДЗИ;GODERDZI
ЧОХЕЛИ;CHOKHELI
БИДЗИНА;BIDZINA
ЧХЕИДЗЕ;CHKHEIDZE
ТЕМУР;TEMUR
ЧХИКВАДЗЕ;CHKHIKVADZE
ЮЛИУ;JULIU
ЭДЛИС;EDLISS
