ru_name;en_name
ГЕЙДАР;HAIDAR
АБАШИДЗЕ;ABASHIDZE
ШАЛВА;SHALVA
АЛЕКСИ-МЕСХИШВИЛИ;ALEKSI-MESKHISHVILI
АМИРЭДЖИБИ;SZALWA
ГЕОРГИЕВИЧ;AMIREDZIBI
РАЖДЕН;RAZHDEN
АРСЕНИДЗЕ;ARSENIDZE
СИМОН;SIMON
АХМЕТЕЛАШВИЛИ;AKHMETELASHVILI
ИОСИФ;IOSIF
БАРАТОВ;BARATOV
РЕВАЗ;REVAZ
ГАБАШВИЛИ;GABASHVILI
ГЕОРГИЙ;GIORGI
ГВАЗАВА;GVAZAVA
ЕВГЕНИЙ;EVGENI
ГЕГЕЧКОРИ;GEGECHKORI
ГРИГОРИЙ;GRIGOL
ГИОРГАДЗЕ;GIORGADZE
ТЕВДОРЕ;TEVDORE
ГЛОНТИ;GHLONTI
ИВАН;IVANE
ГОМАРТЕЛИ;GOMARTELI
ЗАХАР;ZAKARIA
ГУРУЛИ;GURULI
МОИСЕЙ;MOSHE
ДАВАРАШВИЛИ;DAVARASHVILI
АЛЕКСАНДР;ALEKSANDR
ДГЕБУАДЗЕ;DGEBUADZE
СЕРГЕЙ;SERGEI
ДЖАПАРИДЗЕ;JAPARIDZE
СИЛЬВЕСТР;SILIBISTRO
ДЖИБЛАДЗЕ;JIBLADZE
ДЖУГЕЛИ;VALIKO
КОНСТАНТИНОВИЧ;JUGHELI
НОЙ;NOE
ЖОРДАНИЯ;ZHORDANIA
ИОСИФ;IOSEB
ИРЕМАШВИЛИ;IREMASHVILI
КОНСТАНТИН;KONSTANTIN
КАНДЕЛАКИ;KANDELAKI
СПИРИДОН;SPIRIDION
КЕДИА;KEDIJA
ГЕРОНТИЙ;GERONTI
КИКОДЗЕ;K`IK`OZE
НИКОЛАЙ;NIKOLOZ
КУМСИАШВИЛИ;KUMSIASHVILI
ЛАСХИШВИЛИ;LASKHISHVILI
ГУСЕЙН;HUSEYNGULU
МАМЕДОВ;MAMMADOV
ВЛАСА;VLASA
МГЕЛАДЗЕ;MGELADZE
МДИВАНИ;MDIVANI
ЕЛИЗАВЕТА;LIZA
НАКАШИДЗЕ-БОЛКВАДЗЕ;NAKASHIDZE-BOLKVADZE
НАТАДЗЕ;NATADZE
НИКОЛАЙ;NIKO
НИКОЛАДЗЕ;NIKOLADZE
НУЦУБИДЗЕ;NUTSUBIDZE
ДАВИД;DAVIT
ОНИАШВИЛИ;ONIASHVILI
МИНАДОРА;MINDORA
ОРДЖОНИКИДЗЕ-ТОРОШЕЛИДЗЕ;ORJONIKIDZE
ИОАННИС;IOANNIS
ПАСАЛИДИС;PASSALIDIS
САМСОН;SAMSON
ПИРЦХАЛАВА;P`IRC`XALAVA
ИСИДОР;ISIDORE
РАМИШВИЛИ;RAMISHVILI
АННА;ANNA
СОЛОГАШВИЛИ;SOLOGASHVILI
ПЕРИХАНЫМ;PARIKHAN
СОФИЕВА;SOFIEVA
ЭКВТИМЕ;EKVTIME
ТАКАИШВИЛИ;TAKAISHVILI
ВИКТОР;VICTOR
ТЕВЗАЯ;TEVZAIA
ЭЛЕОНОРА;ELEONORA
ТЕР-ПАРСЕГОВА-МАХВИЛАДЗЕ;TER-PARSEGOVA-MAKHVILADZE
УРАТАДЗЕ;URATADZE
ХОМЕРИКИ;KHOMERIKI
ИРАКЛИЙ;IRAKLI
ЦЕРЕТЕЛИ;TSERETELI
ДАВИД;DAVID
ЧХЕИДЗЕ;CHKHEIDZE
НИКОЛАЙ;NIKOLAY
АКАКИЙ;AKAKI
ЧХЕНКЕЛИ;CHKHENKELI
ВЕНИАМИН;BENIA
ЧХИКВИШВИЛИ;CHKHIKVISHVILI
КРИСТИНА;KRISTINE
ШАРАШИДЗЕ;SHARASHIZE
