ru_name;en_name
ГРИГОЛ;GRIGOL
АБАШИДЗЕ;ABASHIDZE
ЛАДО;LADO
АВАЛИАНИ;AVALIANI
ГЕОРГИЙ;GIORGI
АВАЛИШВИЛИ;AVALISHVILI
АЛИО;ALIO
АДАМИА;ADAMIA
ГИВИ;GIVI
АЛХАЗИШВИЛИ;ALKHAZISHVILI
ЧАБУА;CHABUA
АМИРЭДЖИБИ;AMIREJIBI
ЛАВРЕНТИЙ;LAVRENTI
АРДАЗИАНИ;ARDAZIANI
ЭРЛОМ;ERLOM
АХВЛЕДИАНИ;AKHVLEDIANI
ГЕРЦЕЛЬ;GERZEL
БААЗОВ;BAAZOV
ВАСИЛИЙ;VASIL
БАРНОВ;BARNOVI
АКАКИЙ;AKAKI
БЕЛИАШВИЛИ;BELIASHVILI
БЕНИТО;BENITO
БУАЧИДЗЕ;BUACHIDZE
ИОНА;IONA
ВАКЕЛИ;VAKELI
КОНСТАНТИН;KONSTANTINE
ГАМСАХУРДИЯ;GAMSAKHURDIA
ИВАНЕ;IVANE
ГВАРАМАДЗЕ;GVARAMADZE
ГУРАМ;GURAM
ГЕГЕШИДЗЕ;GEGESHIDZE
ГЕОРГИЙ;GEORGE
АФОНСКИЙ;HAGIORITE
МЕРЧУЛЕ;MERCHULE
ГИЯ;GIA
ДЖИЧОНАЙЯ;JICHONAIA
ЯКОВ;IAKOB
ГОГЕБАШВИЛИ;GOGEBASHVILI
ЛЕВАН;LEVAN
ГОТУА;GOTUA
ГЕОРГИЙ;GEORGIY
ГУЛИА;GULIA
ИОСИФ;IOSEB
ДАВИТАШВИЛИ;DAVITASHVILI
ШАЛВА;SHALVA
ДАДИАНИ;DADIANI
РАФАИЛ;RAFAIL
ДАНИБЕГАШВИЛИ;DANIBEGASHVILI
ДЕМЕТРАДЗЕ;DEMETRADZE
МИХАИЛ;MIKHEIL
ДЖАВАХИШВИЛИ;JAVAKHISHVILI
ГРИГОРИЙ;GRIGOL
ДЖАМБАКУРИАН-ОРБЕЛИАНИ;ORBELIANI
СОЛОМОН;SOLOMON
ДОДАШВИЛИ;DODASHVILI
ДОЧАНАШВИЛИ;DOCHANASHVILI
НОДАР;NODAR
ДУМБАДЗЕ;DUMBADZE
ЕФРЕМ;EPHREM
МАЛЫЙ;MTSIRE
ЦУРТАВЕЛИ;TSURTAVELI
РЕВАЗ;REVAZ
ИНАНИШВИЛИ;INANISHVILI
ИГНАТИЙ;EGNATE
ИНГОРОКВА;NINOSHVILI
ДЖАБА;JABA
ИОСЕЛИАНИ;IOSELIANI
ОТИА;OTIA
КАРЛО;KARLO
КАЛАДЗЕ;KALADZE
ЗУРАБ;ZURAB
КАРУМИДЗЕ;KARUMIDZE
ИСИДОР;ISIDORE
КВИЦАРИДЗЕ;KVITSARIDZE
ПЛАТОН;PLATON
КЕШЕЛАВА;KESHELAVA
ЛЕО;LEO
КИАЧЕЛИ;KIACHELI
ДМИТРИЙ;DIMITRI
КИПИАНИ;KIPIANI
ЭДИШЕР;EDISHER
ДЖЕМАЛ;JEMAL
КИРИА;KIRIA
РОДИОН;RODION
КОРКИЯ;KORKIA
ГЕОРГИЙ;GEORGY
КРЕЙТАН;KREYTAN
БЕКА;BEKA
КУРХУЛИ;KURKHULI
АЛЕКСАНДР;ALEKSANDRE
КУТАТЕЛИ;KUTATELIDZE
КУЧИШВИЛИ;KUCHISHVILI
НИКО;NIKO
ЛОМОУРИ;LOMOURI
ВИКЕНТИЙ;CHOLA
ЛОМТАТИДЗЕ;LOMTATIDZE
ИРАКЛИЙ;IRAKLI
ЛОМУРИ;LOMOURI
ЛОРДКИПАНИДЗЕ;LORTKIPANIDZE
МИХАИЛ;MIKHAIL
ЛОХВИЦКИЙ;LOKHVITSKY
МАКАШВИЛИ;MAKASHVILI
МАЧАБЕЛИ;MACHABELI
СОПРОМ;SOPROM
МГАЛОБЛИШВИЛИ;MGALOBLISHVILI
АРСЕН;ARSEN
МЕКОКИШВИЛИ;MEKOKISHVILI
ТАМТА;TAMTA
МЕЛАШВИЛИ;MELASCHWILI
МИХО;MIHO
МОСУЛИШВИЛИ;MOSULISHVILI
МРЕВЛИШВИЛИ;MREVLISHVILI
НИКОЛАЙ;NIKO
НИКОЛАДЗЕ;NIKOLADZE
ОДИШАРИЯ;ODISHARIA
ВАХТАНГ;VAKHTANG
ОРБЕЛИАНИ;ORBELIANI
ПОЦХВЕРИЯ;POTSKHVERIA
АНТОН;ANTON
ПУРЦЕЛАДЗЕ;PURTSELADZE
ТАМРИ;TAMRI
ПХАКАДЗЕ;PKHAKADZE
РАДИАНИ;RADIANI
БАЧАНА;BACHANA
РАЗИКАШВИЛИ;RAZIKASHVILI
ТЕДО;TEDO
РОБАКИДЗЕ;ROBAKIDZE
РЧЕУЛИШВИЛИ;RCHEULISHVILI
АЛЕКСАНДР;ALEXANDER
СУЛАВА;SULAVA
ТАВАДЗЕ;TAVADZE
ЭКВТИМЕ;EKVTIME
ТАКАИШВИЛИ;TAKAISHVILI
ЭТЕР;ETER
ТАТАРАИДЗЕ;TATARAIDZE
АВТАНДИЛ;AVTANDIL
ТУМАНИШВИЛИ;TUMANISHVILI
БЕСИК;BESIK
ХАРАНАУЛИ;KHARANAULI
ДМИТРИЙ;DUTU
ХОШТАРИЯ;MEGRELI
CИЛОВАН;SILOVAN
ХУНДАДЗЕ;KHUNDADZE
МАРИАМ;MARIAM
ХУЦУРАУЛИ;KHUTSURAULI
ЦАГАРЕЛИ;TSAGARELI
