,ru_name,ru_link,en_name,en_link,ka_name,ka_link
0,"Абалян, Эдуард Гайкович","https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%BB%D1%8F%D0%BD,_%D0%AD%D0%B4%D1%83%D0%B0%D1%80%D0%B4_%D0%93%D0%B0%D0%B9%D0%BA%D0%BE%D0%B2%D0%B8%D1%87",Eduard Abalyan,https://en.wikipedia.org/wiki/Eduard_Abalov,,
1,Георгий Семёнович Абашвили,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B9_%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2%D0%B8%D1%87",Georgy Abashvili,https://en.wikipedia.org/wiki/Giorgi_Abashvili,გიორგი აბაშვილი,https://ka.wikipedia.org/wiki/%E1%83%92%E1%83%98%E1%83%9D%E1%83%A0%E1%83%92%E1%83%98_%E1%83%90%E1%83%91%E1%83%90%E1%83%A8%E1%83%95%E1%83%98%E1%83%9A%E1%83%98
2,"Абашидзе, Анастасия Васильевна","https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B8%D0%B4%D0%B7%D0%B5,_%D0%90%D0%BD%D0%B0%D1%81%D1%82%D0%B0%D1%81%D0%B8%D1%8F_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0",Anastasija Vasilevna Abasjidze,,ტასო აბაშიძე,https://ka.wikipedia.org/wiki/%E1%83%A2%E1%83%90%E1%83%A1%E1%83%9D_%E1%83%90%E1%83%91%E1%83%90%E1%83%A8%E1%83%98%E1%83%AB%E1%83%94
3,Давид Иванович Абашидзе,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B8%D0%B4%D0%B7%D0%B5,_%D0%94%D0%B0%D0%B2%D0%B8%D0%B4_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87",Dodo Abashidze,https://en.wikipedia.org/wiki/Dodo_Abashidze,დოდო აბაშიძე,https://ka.wikipedia.org/wiki/%E1%83%93%E1%83%9D%E1%83%93%E1%83%9D_%E1%83%90%E1%83%91%E1%83%90%E1%83%A8%E1%83%98%E1%83%AB%E1%83%94
4,Леван Абашидзе,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B8%D0%B4%D0%B7%D0%B5,_%D0%9B%D0%B5%D0%B2%D0%B0%D0%BD",Levan Abashidze,https://en.wikipedia.org/wiki/Levan_Abashidze,ლევან აბაშიძე,https://ka.wikipedia.org/wiki/%E1%83%9A%E1%83%94%E1%83%95%E1%83%90%E1%83%9C_%E1%83%90%E1%83%91%E1%83%90%E1%83%A8%E1%83%98%E1%83%AB%E1%83%94_(%E1%83%9B%E1%83%A1%E1%83%90%E1%83%AE%E1%83%98%E1%83%9D%E1%83%91%E1%83%98)
5,Лейла Михайловна Абашидзе,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D1%88%D0%B8%D0%B4%D0%B7%D0%B5,_%D0%9B%D0%B5%D0%B9%D0%BB%D0%B0_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0",Leila Abashidze,https://en.wikipedia.org/wiki/Leila_Abashidze,ლეილა აბაშიძე,https://ka.wikipedia.org/wiki/%E1%83%9A%E1%83%94%E1%83%98%E1%83%9A%E1%83%90_%E1%83%90%E1%83%91%E1%83%90%E1%83%A8%E1%83%98%E1%83%AB%E1%83%94
6,"Абдушелишвили, Малхаз Григорьевич","https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B4%D1%83%D1%88%D0%B5%D0%BB%D0%B8%D1%88%D0%B2%D0%B8%D0%BB%D0%B8,_%D0%9C%D0%B0%D0%BB%D1%85%D0%B0%D0%B7_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87",,,,
7,Нино Абесадзе,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D1%81%D0%B0%D0%B4%D0%B7%D0%B5,_%D0%9D%D0%B8%D0%BD%D0%BE",Nino Abesadze,https://en.wikipedia.org/wiki/Nino_Abesadze,ნინო აბესაძე,https://ka.wikipedia.org/wiki/%E1%83%9C%E1%83%98%E1%83%9C%E1%83%9D_%E1%83%90%E1%83%91%E1%83%94%E1%83%A1%E1%83%90%E1%83%AB%E1%83%94
8,"Абесадзе, Ния Георгиевна","https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D1%81%D0%B0%D0%B4%D0%B7%D0%B5,_%D0%9D%D0%B8%D1%8F_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0",Niya Abesadze,,,
9,Геворк Абов,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%BE%D0%B2,_%D0%93%D0%B5%D0%B2%D0%BE%D1%80%D0%BA_%D0%90%D1%80%D1%88%D0%B0%D0%BA%D0%BE%D0%B2%D0%B8%D1%87",Gevorg Abov,,,
